dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,0,     260.664525
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,1,     258.237703
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,2,     258.900640
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,3,     258.758133
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,4,     260.513595
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,5,     258.518148
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,6,     258.915561
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,7,     262.934704
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,8,     260.523590
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,9,     259.323490
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,10,     260.428709
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,11,     260.459419
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,12,     261.315419
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,13,     258.236392
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,14,     259.310080
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,15,     263.925593
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,16,     258.726022
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,17,     259.721752
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,18,     258.745949
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,19,     262.864303
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,20,     261.920613
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,21,     260.909265
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,22,     261.328484
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,23,     258.424423
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,24,     260.252715
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,25,     258.685909
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,26,     260.165576
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,27,     260.499550
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,28,     261.138076
3,float,uniform,PoisFFT,"N | N | N | N | N | N",48,323,29,     261.161506
