dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,0,    3600.509167
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,1,    3591.762565
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,2,    3572.414591
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,3,    3568.052246
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,4,    3568.521472
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,5,    3575.814477
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,6,    3571.801928
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,7,    3570.192928
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,8,    3574.858091
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,9,    3574.061787
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,10,    3565.244178
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,11,    3547.030345
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,12,    3541.893800
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,13,    3536.217321
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,14,    3531.535834
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,15,    3533.239766
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,16,    3542.512859
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,17,    3536.089564
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,18,    3544.248312
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,19,    3538.332747
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,20,    3536.861035
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,21,    3537.702334
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,22,    3545.690818
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,23,    3549.568914
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,24,    3552.171982
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,25,    3564.534981
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,26,    3563.390083
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,27,    3548.605508
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,28,    3533.880014
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,29,    3539.284583
