dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,0,    1584.730873
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,1,    1547.513421
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,2,    1551.003586
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,3,    1551.560183
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,4,    1549.932634
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,5,    1548.511201
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,6,    1550.238197
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,7,    1602.010419
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,8,    1579.862962
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,9,    1593.741640
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,10,    1600.766499
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,11,    1600.707660
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,12,    1598.320940
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,13,    1597.266767
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,14,    1588.173288
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,15,    1599.045164
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,16,    1597.107774
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,17,    1597.813444
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,18,    1593.992577
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,19,    1588.684736
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,20,    1597.559083
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,21,    1597.352884
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,22,    1593.933140
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,23,    1594.282060
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,24,    1595.156531
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,25,    1593.288227
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,26,    1596.461592
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,27,    1599.481807
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,28,    1599.060214
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,323,29,    1597.593665
