dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,0,      45.145781
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,1,      40.773874
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,2,      40.851959
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,3,      40.667361
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,4,      40.574050
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,5,      41.247865
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,6,      41.095729
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,7,      40.380942
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,8,      40.663397
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,9,      40.794390
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,10,      41.129264
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,11,      40.966077
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,12,      41.031392
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,13,      41.367408
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,14,      40.543517
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,15,      40.459875
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,16,      40.312536
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,17,      40.479215
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,18,      41.397851
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,19,      40.792206
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,20,      40.787875
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,21,      40.398532
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,22,      41.059467
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,23,      40.737678
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,24,      40.717158
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,25,      40.331157
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,26,      41.388067
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,27,      41.061513
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,28,      40.466244
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,256,29,      40.558097
