dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,0,     326.728858
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,1,     320.423716
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,2,     320.822347
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,3,     332.592161
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,4,     331.425715
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,5,     326.296911
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,6,     338.482601
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,7,     342.302067
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,8,     341.722068
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,9,     337.259828
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,10,     344.074686
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,11,     345.515994
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,12,     340.817894
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,13,     330.373568
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,14,     339.787347
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,15,     341.094027
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,16,     330.768076
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,17,     342.913918
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,18,     341.395161
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,19,     328.699282
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,20,     528.547663
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,21,     340.603357
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,22,     323.668265
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,23,     339.762601
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,24,     333.260935
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,25,     333.043617
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,26,     334.933070
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,27,     329.732907
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,28,     337.577785
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,29,     327.175582
