dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,0,      52.840399
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,1,      49.636973
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,2,      49.565092
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,3,      49.892115
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,4,      51.844706
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,5,      53.255812
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,6,      50.587383
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,7,      51.793502
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,8,      51.624914
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,9,      51.345365
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,10,      52.292575
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,11,      51.469334
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,12,      51.056316
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,13,      54.560931
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,14,      51.078283
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,15,      50.247487
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,16,      51.217920
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,17,      51.528787
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,18,      51.695280
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,19,      51.706977
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,20,      50.578593
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,21,      51.235159
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,22,      51.716564
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,23,      51.357621
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,24,      51.198602
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,25,      51.283754
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,26,      51.336990
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,27,      50.951532
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,28,      51.717817
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,29,      51.987609
