dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,0,      70.903893
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,1,      68.989527
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,2,      68.499672
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,3,      68.503451
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,4,      67.390804
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,5,      67.411779
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,6,      68.058557
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,7,      72.127343
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,8,      68.260572
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,9,      67.119145
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,10,      67.832389
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,11,      67.500203
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,12,      67.459028
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,13,      67.826911
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,14,      67.570153
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,15,      68.848216
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,16,      66.838488
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,17,      68.183278
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,18,      67.794944
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,19,      67.415213
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,20,      68.410350
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,21,      67.533262
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,22,      67.140252
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,23,      67.299770
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,24,      67.540312
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,25,      66.929028
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,26,      66.697264
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,27,      68.110588
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,28,      67.743649
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,203,29,      68.017104
