dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,0,    1629.861627
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,1,    1594.948195
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,2,    1595.918645
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,3,    1595.880442
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,4,    1595.899106
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,5,    1597.545012
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,6,    1598.186354
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,7,    1603.295156
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,8,    1612.348984
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,9,    1608.128030
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,10,    1609.534856
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,11,    1610.061693
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,12,    1586.320239
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,13,    1597.676530
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,14,    1597.218122
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,15,    1605.682041
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,16,    1608.017727
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,17,    1607.876763
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,18,    1610.646305
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,19,    1609.675428
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,20,    1605.153011
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,21,    1606.330084
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,22,    1604.919760
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,23,    1612.677348
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,24,    1611.275814
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,25,    1603.455327
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,26,    1602.997895
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,27,    1602.443408
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,28,    1603.296317
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",2,323,29,    1611.064187
