dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,0,     565.020127
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,1,     556.341264
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,2,     570.359014
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,3,     553.557134
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,4,     563.741675
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,5,     571.964062
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,6,     574.973397
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,7,     565.096598
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,8,     556.535402
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,9,     570.075171
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,10,     569.799457
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,11,     543.113281
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,12,     547.544204
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,13,     569.856872
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,14,     559.834566
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,15,     563.710548
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,16,     556.604659
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,17,     555.296978
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,18,     562.895786
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,19,     559.312747
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,20,     552.190507
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,21,     563.239517
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,22,     556.115958
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,23,     558.432409
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,24,     554.285149
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,25,     564.934256
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,26,     543.965615
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,27,     550.423810
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,28,     556.387823
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,369,29,     562.553482
