dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,0,1.54467,1178.92,3.71532,1.78886,1188.3,1185.97
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,1,0.926528,899.848,3.71099,1.47766,907.757,905.964
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,2,0.925504,860.255,3.70646,1.47357,869.133,866.36
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,3,0.938304,875.229,3.73057,1.4848,884.17,881.383
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,4,0.944672,891.868,3.7161,1.47866,899.813,898.007
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,5,0.9256,878.692,3.70287,1.47453,886.583,884.795
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,6,0.925344,859.504,3.70342,1.46938,868.389,865.602
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,7,0.9272,851.282,3.7077,1.47046,860.158,857.388
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,8,0.927712,848.475,3.70687,1.47558,856.421,854.585
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,9,0.930432,859.418,3.70741,1.4776,868.312,865.533
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,10,0.923776,855.964,3.70348,1.46739,863.931,862.058
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,11,0.936032,853.616,3.73256,1.48682,862.523,859.771
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,12,0.933888,852.464,3.71806,1.47354,861.389,858.589
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,13,0.926784,855.425,3.69797,1.47146,863.349,861.522
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,14,0.926848,855.997,3.7005,1.47248,864.853,862.097
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,15,0.924128,858.878,3.70353,1.46845,867.742,864.974
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,16,0.9256,868.993,3.70339,1.47254,877.866,875.094
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,17,0.924896,862.177,3.70984,1.46941,870.902,868.281
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,18,0.925888,869.002,3.70182,1.47658,876.92,875.107
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,19,0.930592,851.02,3.71029,1.47254,859.917,857.133
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,20,0.927008,849.435,3.70739,1.47347,858.326,855.543
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,21,0.926304,854.297,3.70455,1.47555,863.175,860.404
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,22,0.930496,854.64,3.70499,1.47248,863.539,860.748
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,23,0.931808,855.989,3.70694,1.47251,863.882,862.1
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,24,0.928224,843.834,3.70653,1.46531,852.688,849.934
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,25,0.950304,855.036,3.72754,1.48074,862.98,861.195
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,26,0.93808,847.19,3.71581,1.47968,856.105,853.323
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,27,0.926784,848.495,3.70335,1.47859,857.402,854.603
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,28,0.927264,850.788,3.70391,1.46842,858.711,856.888
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,29,0.924448,852.061,3.70669,1.46938,859.973,858.161
