dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,0,5.56749,0,8058.38,6.20032,8070.29,8070.14
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,1,5.54547,0,6655.68,5.9136,6667.28,6667.14
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,2,5.5392,0,6657.84,5.90336,6669.42,6669.28
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,3,5.54518,0,6655.77,5.91872,6667.38,6667.24
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,4,5.53888,0,6658.4,5.92282,6670,6669.87
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,5,5.54102,0,6651.82,5.92077,6663.43,6663.28
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,6,5.53968,0,6651.72,5.92179,6663.32,6663.18
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,7,5.5393,0,6657.03,5.90643,6668.61,6668.48
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,8,5.54317,0,6653.27,5.93306,6664.9,6664.75
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,9,5.53549,0,6654.61,5.9095,6666.18,6666.05
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,10,5.5408,0,6651.54,5.93101,6663.14,6663.01
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,11,5.54314,0,6658.16,5.90848,6669.74,6669.61
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,12,5.54237,0,6654.13,5.9136,6665.73,6665.58
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,13,5.53965,0,6655.21,5.90438,6666.79,6666.66
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,14,5.53987,0,6653.8,5.9095,6665.38,6665.25
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,15,5.54192,0,6656.37,5.92077,6667.97,6667.83
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,16,5.54042,0,6659.23,5.91258,6670.82,6670.69
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,17,5.54518,0,6659.43,5.91872,6671.04,6670.9
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,18,5.53821,0,6652.04,5.90643,6663.62,6663.48
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,19,5.54016,0,6654.35,5.90336,6665.93,6665.79
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,20,5.53859,0,6655.48,5.91462,6667.06,6666.93
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,21,5.53965,0,6651.15,5.90131,6662.73,6662.59
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,22,5.54061,0,6654.85,5.91565,6666.44,6666.31
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,23,5.54163,0,6652.12,5.91155,6663.71,6663.58
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,24,5.5448,0,6651.91,5.92384,6663.52,6663.38
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,25,5.53741,0,6652.94,5.91565,6664.52,6664.39
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,26,5.5408,0,6654.44,5.9351,6666.05,6665.91
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,27,5.53939,0,6659.53,5.92384,6671.13,6670.99
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,28,5.53914,0,6658.72,5.9351,6670.32,6670.19
3,double,uniform,GPU,"D | D | D | D | D | D",1,512,29,5.53664,0,6655.55,5.9136,6667.13,6667
