dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,0,1.24182,624.499,8.69012,1.05984,630.178,635.49
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,1,0.704064,515.652,8.66663,0.736256,523.742,525.759
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,2,0.705696,499.806,8.67791,0.733184,508.511,509.922
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,3,0.711072,490.45,8.6814,0.744448,500.523,500.587
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,4,0.707392,516.146,8.69138,0.737216,526.195,526.282
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,5,0.70896,522.745,8.68616,0.737312,532.8,532.877
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,6,0.704832,495.583,8.67477,0.736256,503.961,505.699
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,7,0.7136,489.515,8.70818,0.748512,499.598,499.686
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,8,0.708064,498.484,8.73244,0.741376,508.579,508.665
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,9,0.70704,487.401,8.67972,0.734208,493.695,497.522
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,10,0.702624,513.757,8.67391,0.731104,514.269,523.865
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,11,0.70496,528.001,8.67551,0.735232,531.369,538.117
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,12,0.708448,518.208,8.73725,0.757728,521.532,528.411
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,13,0.708768,514.733,8.68955,0.731136,520.748,524.862
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,14,0.709184,489.846,8.67843,0.737216,499.882,499.971
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,15,0.704128,527.958,8.66331,0.734176,537.972,538.06
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,16,0.704672,491.808,8.67134,0.733184,498.28,501.917
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,17,0.706656,513.749,8.67613,0.736256,517.927,523.868
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,18,0.70416,533.214,8.67486,0.731136,543.239,543.324
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,19,0.70736,491.124,8.67075,0.740352,500.779,501.243
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,20,0.702016,485.798,8.67617,0.73216,495.6,495.909
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,21,0.703328,508.062,8.67274,0.734208,508.987,518.172
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,22,0.701856,511.755,8.65967,0.730112,521.252,521.846
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,23,0.703008,501.46,8.66869,0.73216,505.785,511.564
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,24,0.703328,483.404,8.67769,0.735232,493.201,493.521
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,25,0.714624,496.67,8.73787,0.7424,506.782,506.865
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,26,0.703616,534.032,8.67044,0.733184,542.147,544.14
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,27,0.70448,491.239,8.66981,0.731104,501.259,501.344
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,28,0.712992,504.111,8.66693,0.735232,507.768,514.226
3,double,uniform,GPU,"D | D | D | D | D | D",8,512,29,0.701472,507.023,8.66614,0.7352,507.713,517.126
