dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,0,1.28918,676.476,6.91204,1.11507,679.646,685.793
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,1,0.704864,499.59,6.88627,0.739296,505.16,507.92
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,2,0.705792,514.509,6.87691,0.736224,513.244,522.827
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,3,0.702848,516.501,6.87817,0.736224,519.126,524.818
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,4,0.712704,528.466,6.90944,0.742368,534.697,536.831
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,5,0.707392,514.366,6.87674,0.7352,522.593,522.686
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,6,0.708672,497.29,6.87056,0.734176,505.524,505.603
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,7,0.703264,505.101,6.87288,0.732096,508.71,513.409
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,8,0.703904,488.711,6.8754,0.732096,493.947,497.022
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,9,0.705184,485.814,6.87531,0.731136,489.957,494.125
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,10,0.705504,511.888,6.86824,0.733184,516.089,520.195
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,11,0.70864,494.075,6.8709,0.73216,499.087,502.386
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,12,0.705984,494.7,6.88073,0.732128,501.834,503.018
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,13,0.7048,511.902,6.86908,0.733152,518.168,520.209
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,14,0.701184,514.58,6.87094,0.733184,517.985,522.885
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,15,0.701184,520.341,6.87824,0.733152,525.481,528.654
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,16,0.702016,506.692,6.86712,0.73216,511.869,514.993
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,17,0.71344,496.051,6.88719,0.738304,503.029,504.39
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,18,0.749088,536.319,6.95896,0.769984,544.738,544.797
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,19,0.70672,507.903,6.88866,0.7352,516.146,516.233
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,20,0.706528,505.611,6.88244,0.735232,510.661,513.935
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,21,0.703552,527.378,6.87027,0.731136,519.711,535.683
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,22,0.7048,518.065,6.86793,0.733184,523.786,526.371
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,23,0.711008,499.607,6.88072,0.737248,507.847,507.936
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,24,0.704896,506.612,6.8722,0.73216,510.071,514.922
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,25,0.70784,522.036,6.87507,0.73312,530.258,530.352
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,26,0.706368,509.121,6.88056,0.735168,516.62,517.444
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,27,0.708224,496.587,6.87444,0.732128,501.052,504.902
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,28,0.704416,515.285,6.87876,0.740352,517.402,523.609
3,double,uniform,GPU,"D | D | D | D | N | D",8,512,29,0.70512,544.076,6.87749,0.75568,552.322,552.414
