dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,0,1.4888,0,4873.9,1.92723,4877.49,4877.32
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,1,1.42211,0,4386.67,1.39478,4389.61,4389.49
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,2,1.40762,0,4373.66,1.38547,4376.55,4376.45
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,3,1.41344,0,4389.15,1.40192,4392.08,4391.97
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,4,1.41574,0,4388.65,1.38342,4391.57,4391.45
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,5,1.40848,0,4387.1,1.38659,4389.98,4389.89
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,6,1.41347,0,4380.89,1.39059,4383.81,4383.7
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,7,1.41552,0,4558.75,1.3783,4542.9,4561.55
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,8,1.40922,0,4385.53,1.3783,4388.41,4388.32
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,9,1.40778,0,4406.57,1.38445,4409.46,4409.37
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,10,1.41485,0,4393.51,1.39168,4396.43,4396.32
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,11,1.40515,0,4388.35,1.38342,4391.23,4391.14
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,12,1.40832,0,4382.64,1.38138,4385.53,4385.43
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,13,1.41251,0,4560.83,1.3824,4539.75,4563.62
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,14,1.40579,0,4386.7,1.38138,4389.58,4389.49
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,15,1.41578,0,4383.51,1.38547,4386.42,4386.31
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,16,1.40573,0,4399.37,1.39059,4402.25,4402.16
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,17,1.40416,0,4396.75,1.38554,4399.63,4399.54
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,18,1.40778,0,4392.67,1.38035,4395.55,4395.46
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,19,1.41168,0,4595.98,1.37523,4577.38,4598.76
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,20,1.40614,0,4415.62,1.37827,4418.5,4418.41
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,21,1.42035,0,4399.81,1.38752,4402.73,4402.62
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,22,1.40618,0,4392.02,1.39776,4394.92,4394.83
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,23,1.40774,0,4394.61,1.3783,4397.49,4397.4
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,24,1.40566,0,4388.44,1.3793,4391.32,4391.22
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,25,1.40605,0,4389.71,1.3783,4392.59,4392.5
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,26,1.40627,0,4393.67,1.3865,4396.56,4396.47
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,27,1.41181,0,4384.62,1.37523,4387.5,4387.41
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,28,1.4071,0,4393.44,1.37421,4396.32,4396.23
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,29,1.40592,0,4387.2,1.38445,4390.08,4389.99
