dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,0,1.55766,698.952,5.87628,1.3168,707.637,707.703
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,1,0.930784,442.349,5.84071,0.994272,449.956,450.115
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,2,0.932928,442.638,5.82134,0.99632,450.225,450.388
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,3,0.93392,441.934,5.84966,1.00246,449.587,449.72
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,4,0.935232,444.184,5.88417,0.99632,451.847,452
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,5,0.97488,444.376,5.74416,1.08134,450.961,452.176
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,6,0.930112,434.084,5.81833,0.995264,441.664,441.828
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,7,0.974144,436.452,5.73183,1.06803,443.031,444.226
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,8,0.928416,434.168,5.82752,0.98912,441.753,441.913
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,9,0.932768,441.369,5.81604,0.9912,448.954,449.109
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,10,0.933024,440.723,5.81585,0.994272,448.303,448.466
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,11,0.929536,435.473,5.82287,0.9912,443.055,443.217
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,12,0.930048,439.41,5.8231,1.01779,447.03,447.181
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,13,0.938592,432.59,5.84763,1.00656,440.253,440.383
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,14,0.936032,604.303,5.88382,1.00448,611.99,612.127
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,15,0.933824,460.902,5.81187,0.988128,468.477,468.635
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,16,0.932608,443.262,5.82457,0.995296,450.858,451.014
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,17,0.975136,448.583,5.7355,1.07213,455.048,456.365
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,18,0.934976,442.955,5.82048,0.995264,449.465,450.706
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,19,0.928096,441.012,5.8295,0.9984,447.582,448.768
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,20,0.974816,443.024,5.73325,1.08237,449.584,450.815
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,21,0.941568,436.291,5.82624,0.994272,443.892,444.053
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,22,0.972192,442.6,5.74023,1.07213,449.133,450.385
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,23,0.93328,443.978,5.82116,0.9984,450.547,451.731
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,24,0.929824,435.444,5.8158,0.991168,443.019,443.181
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,25,0.93104,447.401,5.82309,0.990176,454.993,455.145
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,26,0.930272,473.16,5.81694,0.992224,479.698,480.899
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,27,0.929472,439.717,5.81517,0.995264,447.298,447.457
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,28,0.930784,456.715,5.81618,0.992224,463.229,464.454
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,29,0.94096,442.97,5.82583,0.994272,449.481,450.731
