dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,0,2.87539,1319.66,12.8362,3.40992,1338.9,1338.79
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,1,2.78896,1326.35,12.7088,3.07814,1345.07,1344.93
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,2,2.79171,1315.94,12.323,3.0464,1334.12,1334.1
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,3,2.78957,1318.7,12.3664,3.0464,1336.9,1336.91
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,4,2.78912,1317.24,12.3048,3.04845,1335.46,1335.38
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,5,2.7903,1313.27,12.364,3.0464,1331.54,1331.47
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,6,2.79194,1315.45,12.2756,3.04845,1333.64,1333.56
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,7,2.78112,1316.71,12.304,3.05664,1334.85,1334.85
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,8,2.7896,1315.29,12.3455,3.05664,1333.53,1333.48
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,9,2.79376,1320.78,12.3274,3.04845,1339.02,1338.95
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,10,2.78912,1311.05,12.2607,3.04845,1329.23,1329.15
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,11,2.79283,1315.58,12.3071,3.04947,1333.85,1333.73
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,12,2.79347,1314.55,12.2767,3.04845,1332.76,1332.67
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,13,2.78842,1316.72,12.3488,3.04538,1334.89,1334.91
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,14,2.78093,1308.59,12.2441,3.04333,1326.78,1326.66
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,15,2.78912,1315.64,12.3517,3.0464,1333.89,1333.82
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,16,2.79114,1319.93,12.3165,3.04538,1338.12,1338.08
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,17,2.79226,1317.64,12.2839,3.04947,1335.84,1335.77
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,18,2.77939,1312.89,12.3378,3.04026,1331.12,1331.05
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,19,2.78016,1312.87,12.3221,3.04742,1331.09,1331.02
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,20,2.79142,1313.37,12.4165,3.0464,1331.62,1331.62
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,21,2.79302,1314.87,12.2919,3.04845,1333.08,1333.01
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,22,2.78992,1316.26,12.3156,3.05459,1334.53,1334.42
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,23,2.7911,1314.81,12.3502,3.0464,1333.07,1333
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,24,2.7905,1312.52,12.4074,3.04742,1330.84,1330.76
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,25,2.79197,1311.2,12.3675,3.04947,1329.48,1329.41
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,26,2.78211,1316.91,12.3199,3.0464,1335.12,1335.06
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,27,2.79562,1316.14,12.3395,3.05459,1334.43,1334.33
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,28,2.78333,1310.05,12.1534,3.03923,1328.17,1328.03
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,29,2.79254,1314.44,12.3322,3.0464,1332.69,1332.62
