dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,0,6.1104,10.5436,52.1177,6.18291,75.0791,74.9546
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,1,5.68067,10.536,47.0323,5.95251,69.332,69.2015
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,2,5.67504,10.533,46.1837,5.93306,68.4558,68.3249
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,3,5.68522,10.5338,46.1833,5.93715,68.4641,68.3396
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,4,5.67014,10.5377,46.1619,5.92486,68.4284,68.2946
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,5,5.67958,10.5397,46.2266,5.92589,68.5023,68.3717
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,6,5.68326,10.5337,46.0266,5.93101,68.3077,68.1745
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,7,5.68166,10.5375,46.2006,5.93306,68.4843,68.3528
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,8,5.69331,10.5372,46.2644,5.93306,68.5598,68.4279
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,9,5.69814,10.5429,45.9877,5.9392,68.2983,68.1679
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,10,5.67456,10.5335,46.1777,5.9607,68.4782,68.3465
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,11,5.67309,10.5357,46.2239,5.92282,68.4874,68.3555
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,12,5.68192,10.5364,46.2726,5.94022,68.5616,68.4311
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,13,5.67347,10.5325,46.1139,5.93715,68.3932,68.2571
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,14,5.68262,10.5329,46.2258,5.93101,68.5029,68.3724
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,15,5.66982,10.5376,46.05,5.92179,68.3118,68.1793
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,16,5.67331,10.5405,46.132,5.9351,68.4127,68.2808
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,17,5.66134,10.5377,46.0894,5.9351,68.3545,68.2236
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,18,5.68461,10.5321,46.1766,5.93715,68.4613,68.3305
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,19,5.6704,10.5325,46.2054,5.94022,68.4826,68.3485
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,20,5.68445,10.5368,46.279,5.93408,68.5649,68.4343
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,21,5.68144,10.532,46.2258,5.92282,68.4932,68.362
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,22,5.6657,10.5337,46.1571,5.94227,68.4448,68.2988
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,23,5.67395,10.5368,46.1017,5.93715,68.3799,68.2496
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,24,5.67338,10.5365,46.2424,5.9351,68.5207,68.3873
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,25,5.67747,10.5346,46.0474,5.9433,68.3324,68.2028
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,26,5.68013,10.5373,46.2616,5.93818,68.5525,68.4171
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,27,5.68163,10.5365,46.272,5.93306,68.5559,68.4232
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,28,5.67546,10.5349,46.1659,5.94022,68.4483,68.3165
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,29,5.68659,10.5353,46.1472,5.93715,68.4366,68.3062
