dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,0,1.30701,1110.29,5.37123,2.26403,1103.02,1119.23
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,1,0.732064,988.641,5.5915,1.73155,996.823,996.696
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,2,0.747744,1009.02,5.14686,1.75309,1016.71,1016.67
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,3,0.754144,934.734,5.17735,1.76435,930.689,942.43
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,4,0.736608,960.707,5.34274,1.73773,966.873,968.524
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,5,0.748512,978.907,5.19075,1.75514,981.728,986.601
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,6,0.765312,955.186,5.21337,1.74797,931.449,962.913
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,7,0.733088,937.048,5.36029,1.74179,933.141,944.883
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,8,0.727808,941.929,5.32007,1.72954,949.169,949.706
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,9,0.767136,951.264,5.17954,1.76026,959.039,958.971
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,10,0.763424,925.409,5.1755,1.75718,931.669,933.105
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,11,0.747232,932.071,5.20245,1.76333,927.255,939.784
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,12,0.75056,956.95,5.18128,1.75104,946.278,964.633
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,13,0.726016,1000.55,5.32884,1.72749,1005.77,1008.33
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,14,0.749728,944.04,5.20183,1.74899,943.172,951.74
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,15,0.720896,928.013,5.30603,1.7152,935.534,935.755
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,16,0.752256,936.932,5.17953,1.75002,938.996,944.614
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,17,0.736608,944.879,5.39123,1.74592,947.801,952.753
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,18,0.752928,940.742,5.184,1.75206,947.062,948.431
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,19,0.746976,947.918,5.19176,1.74899,955.608,955.606
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,20,0.747168,973.466,5.48078,1.74794,981.577,981.442
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,21,0.748992,925.424,5.17842,1.75104,931.335,933.102
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,22,0.751936,966.249,5.17356,1.7623,973.922,973.937
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,23,0.750912,950.019,5.19249,1.75309,955.037,957.715
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,24,0.75088,980.993,5.15033,1.75722,984.833,988.652
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,25,0.751584,944.797,5.17879,1.75206,948.592,952.48
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,26,0.733792,984.229,5.31632,1.71926,989.923,991.999
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,27,0.735584,957.286,5.31391,1.72954,961.567,965.066
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,28,0.750816,945.445,5.19125,1.74592,949.075,953.133
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,29,0.754432,982.09,5.15975,1.75206,967.648,989.756
