dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,0,1.03619,0,3458.22,1.47866,3460.91,3460.74
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,1,0.956832,0,2957.31,0.948224,2959.31,2959.21
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,2,0.955264,0,2956.34,0.944096,2958.35,2958.24
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,3,0.966272,0,2955.72,0.953344,2957.4,2957.64
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,4,0.955104,0,2945.09,0.950272,2945.16,2946.99
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,5,0.956192,0,2960.02,0.945152,2962.02,2961.92
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,6,0.954464,0,2948.88,0.945152,2949.56,2950.78
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,7,0.95648,0,2946.11,0.9472,2948.11,2948.01
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,8,0.966048,0,2950.45,0.951296,2951.43,2952.37
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,9,0.956928,0,2956.63,0.951296,2958.63,2958.53
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,10,0.956736,0,2961.42,0.945152,2963.42,2963.33
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,11,0.962656,0,3094.08,0.946176,3074.56,3095.99
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,12,0.967936,0,2963,0.965632,2965.05,2964.93
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,13,0.957248,0,2953.94,0.941056,2953.84,2955.84
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,14,0.954144,0,3033.16,0.94208,3035.15,3035.05
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,15,0.954624,0,3011.23,0.940032,3013.22,3013.12
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,16,0.95472,0,2966.58,0.94416,2968.57,2968.48
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,17,0.95552,0,2961.56,0.94208,2963.54,2963.45
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,18,0.965152,0,2969.31,0.95744,2971.36,2971.24
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,19,0.955808,0,2956.67,0.949312,2958.67,2958.58
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,20,0.956032,0,2957.43,0.946176,2959.45,2959.33
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,21,0.960192,0,3102.57,0.943104,3085.65,3104.47
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,22,0.955264,0,2969.53,0.944032,2971.53,2971.43
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,23,0.955392,0,2962.04,0.944128,2964.04,2963.94
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,24,0.952512,0,2963.76,0.949248,2965.76,2965.67
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,25,0.96736,0,2965.4,0.948224,2967.43,2967.32
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,26,0.960448,0,3107.73,0.947232,3080.04,3109.64
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,27,0.959296,0,2958.24,0.946176,2960.24,2960.15
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,28,0.95584,0,2970.67,0.941056,2971.2,2972.56
3,double,uniform,GPU,"N | N | N | N | N | N",6,512,29,0.956288,0,2959.41,0.940032,2960.51,2961.3
