dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,0,1.4959,1814.69,12.002,4.48304,1832.83,1832.67
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,1,1.40915,1793.85,11.8962,3.42726,1810.72,1810.58
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,2,1.432,1747.85,11.9467,3.4447,1764.84,1764.68
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,3,1.40813,1762.48,11.9042,3.43341,1779.37,1779.23
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,4,1.40678,1845.81,11.8807,3.42112,1862.67,1862.52
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,5,1.40669,1797,11.8843,3.42422,1813.86,1813.72
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,6,1.40669,1791.01,11.8869,3.42211,1807.87,1807.73
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,7,1.41786,1974.2,11.8841,3.42726,1991.09,1990.93
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,8,1.40666,1857.71,11.9623,3.44672,1874.66,1874.52
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,9,1.40749,1796.09,11.8807,3.42115,1812.94,1812.8
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,10,1.40637,1803.62,11.8858,3.42938,1820.49,1820.35
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,11,1.40771,1804.2,11.8815,3.42109,1821.05,1820.91
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,12,1.41824,1785.28,11.9413,3.43546,1802.25,1802.08
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,13,1.40915,1801.63,11.9021,3.42726,1818.51,1818.36
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,14,1.40966,1791.61,11.8862,3.42938,1808.48,1808.34
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,15,1.41021,1823.3,11.8792,3.42829,1840.15,1840.02
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,16,1.41677,1809.61,11.948,3.44986,1826.6,1826.42
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,17,1.40662,1804.2,11.9085,3.42426,1821.08,1820.94
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,18,1.40806,1836.98,11.8871,3.4303,1853.84,1853.71
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,19,1.4089,1820.41,11.8869,3.42115,1837.27,1837.12
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,20,1.40534,1831.87,11.8835,3.43034,1848.73,1848.58
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,21,1.40608,1827.01,11.8852,3.42218,1843.86,1843.72
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,22,1.4055,1764.2,11.8799,3.43142,1781.06,1780.92
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,23,1.41171,1816.51,11.8878,3.42624,1833.34,1833.24
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,24,1.40848,1796.85,11.9637,3.44166,1813.83,1813.66
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,25,1.40784,1851.29,11.8789,3.4273,1868.14,1868
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,26,1.40816,1856.49,11.8812,3.42016,1873.35,1873.2
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,27,1.40701,1748.76,11.8913,3.42829,1765.63,1765.49
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,28,1.40602,1868.74,11.8855,3.41606,1885.59,1885.45
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,29,1.40746,1805.73,11.8848,3.42218,1822.59,1822.44
