dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,0,1.3135,1114.39,4.94592,2.02138,1084.42,1122.67
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,1,0.70608,952.522,4.81355,1.69978,951.984,959.742
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,2,0.740256,948.032,4.91238,1.78586,947.141,955.471
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,3,0.747072,946.079,4.9336,1.81453,945.642,953.574
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,4,0.759328,938.636,4.9021,1.79507,946.013,946.093
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,5,0.740768,959.444,4.90406,1.80019,966.876,966.889
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,6,0.740736,966.518,4.90413,1.80531,973.89,973.968
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,7,0.76016,964.874,4.92926,1.80736,971.062,972.371
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,8,0.759488,939.177,4.91357,1.79507,946.642,946.645
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,9,0.754688,940.485,4.93095,1.80634,947.93,947.977
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,10,0.745728,971.26,4.91222,1.79507,956.327,978.713
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,11,0.758208,942.165,4.93399,1.80838,930.907,949.666
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,12,0.74352,967.278,4.90426,1.79507,971.51,974.72
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,13,0.760896,969.453,4.96311,1.81248,976.887,976.989
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,14,0.740192,955.041,4.90907,1.79507,962.408,962.485
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,15,0.739872,937.295,4.90453,1.79814,936.086,944.738
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,16,0.743712,943.943,4.91751,1.80224,930.216,951.407
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,17,0.76128,940.327,4.93781,1.81146,937.168,947.838
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,18,0.740032,959.586,4.89446,1.792,904.163,967.013
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,19,0.75936,934.023,4.90607,1.79405,941.388,941.483
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,20,0.70848,948.969,4.80855,1.68346,950.299,956.169
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,21,0.703872,971.559,4.79866,1.68339,976.28,978.745
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,22,0.716544,947.006,4.81758,1.6968,954.389,954.237
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,23,0.754048,941.201,4.90448,1.82067,948.608,948.68
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,24,0.70272,949.851,4.79301,1.68237,951.87,957.029
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,25,0.73824,954.323,4.91116,1.79507,961.683,961.768
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,26,0.738592,947.839,4.91039,1.79917,955.18,955.288
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,27,0.740672,956.111,4.90975,1.79507,959.761,963.557
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,28,0.736992,953.672,4.91003,1.78381,956.821,961.103
3,double,uniform,GPU,"P | P | P | P | N | D",8,512,29,0.73968,942.048,4.90204,1.7961,942.732,949.486
