dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,0,3.29891,36.1054,16.7827,7.39328,63.7043,63.5802
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,1,2.88726,30.112,16.7272,7.17517,56.9891,56.9016
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,2,2.87843,30.1514,16.7024,7.15981,56.9803,56.892
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,3,2.88064,30.1579,16.6928,7.18848,57.0054,56.9198
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,4,2.86864,30.0977,16.7844,7.15981,56.9965,56.9105
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,5,2.87578,29.9945,16.7854,7.17926,56.9201,56.835
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,6,2.87366,30.0819,16.8189,7.1895,57.0472,56.964
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,7,2.87891,30.1029,16.7121,7.16698,56.9458,56.8609
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,8,2.87555,30.0065,16.7081,7.14547,56.8236,56.7356
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,9,2.89395,30.1052,16.6936,7.17926,56.9462,56.8721
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,10,2.86512,30.0596,16.8735,7.17312,57.0586,56.9713
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,11,2.86797,30.1211,16.7505,7.15469,56.9818,56.8943
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,12,2.87386,30.1047,16.7288,7.17517,56.9562,56.8824
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,13,2.87651,30.1815,16.5261,7.19155,56.8325,56.7757
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,14,2.87046,30.1232,16.7395,7.18643,57.0066,56.9196
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,15,2.86989,30.8339,16.5929,7.17619,57.492,57.4728
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,16,2.88054,30.2978,16.6165,7.19155,57.0719,56.9864
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,17,2.8768,30.1168,16.7108,7.19872,56.9926,56.9032
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,18,2.86394,30.1454,16.6161,7.18643,56.8945,56.8118
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,19,2.87331,30.0829,16.6587,7.19155,56.8932,56.8065
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,20,2.86758,30.0794,16.7385,7.17517,56.9419,56.8607
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,21,2.86045,30.259,16.6748,7.16595,57.0448,56.9603
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,22,2.87299,30.1596,16.7681,7.15469,57.0313,56.9554
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,23,2.8745,30.0037,16.737,7.18541,56.8871,56.8006
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,24,2.87523,30.2875,16.6984,7.16595,57.1056,57.0271
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,25,2.87446,30.1152,16.671,7.15469,56.9034,56.8153
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,26,2.87216,30.0064,16.7613,7.18848,56.9143,56.8283
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,27,2.86864,30.2424,16.7105,7.15162,57.0587,56.9732
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,28,2.87325,30.1586,16.707,7.17107,56.9964,56.9099
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",2,512,29,2.86934,30.0547,16.731,7.15674,56.8961,56.8118
