dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,0,2.85766,4022.55,28.8867,7.39533,4061.8,4061.69
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,1,2.79453,4028.81,26.5828,6.96832,4065.24,4065.15
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,2,2.8073,4014.29,28.9914,6.90483,4053.05,4053
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,3,2.79123,3936.11,26.8623,6.96525,3972.9,3972.73
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,4,2.79299,3937.94,26.2555,6.95398,3974.03,3973.94
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,5,2.79181,3949.36,26.6781,6.96422,3985.89,3985.79
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,6,2.79219,3937.25,26.461,6.96218,3973.55,3973.46
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,7,2.80019,3936.54,26.5351,6.97139,3972.94,3972.85
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,8,2.7919,3941.77,26.4139,6.96422,3978.02,3977.94
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,9,2.79469,3935.1,26.4767,6.96218,3971.41,3971.33
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,10,2.7945,3954.34,26.4161,6.95603,3990.53,3990.5
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,11,2.77917,3953.34,26.5026,6.96115,3989.79,3989.58
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,12,2.80189,3948.04,26.3664,6.96115,3984.25,3984.16
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,13,2.79235,3951.09,26.4284,6.9591,3987.29,3987.27
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,14,2.79402,3936.81,26.5431,6.94682,3973.18,3973.1
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,15,2.78544,3989.89,28.757,6.912,4028.47,4028.35
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,16,2.79549,3982.15,27.2552,6.92736,4019.22,4019.13
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,17,2.79552,3947.94,26.9242,6.95194,3984.72,3984.61
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,18,2.79661,3956.52,26.9304,6.95398,3993.29,3993.2
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,19,2.80016,3936.7,26.2908,6.9591,3972.85,3972.75
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,20,2.79379,3950.58,26.5091,6.9591,3986.93,3986.84
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,21,2.79402,3946.09,26.4379,6.9591,3982.39,3982.28
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,22,2.79222,3955.14,26.4554,6.96218,3991.44,3991.35
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,23,2.79293,3941.67,26.5455,6.95808,3978.05,3977.96
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,24,2.77866,3948.14,26.5046,6.96422,3984.53,3984.39
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,25,2.79104,3932.8,26.389,6.9673,3969.02,3968.95
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,26,2.79357,3956.38,26.4263,6.95398,3992.62,3992.55
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,27,2.79635,3952.36,26.4876,6.96627,3988.67,3988.61
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,28,2.79853,3946.09,26.3801,6.9673,3982.34,3982.24
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,29,2.7951,3979.08,26.8006,6.96013,4015.74,4015.63
