dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,0,224.672,2645.49,13.1302,6.10918,2899.46,2889.4
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,1,225.176,2635.96,13.1642,5.43846,2889.51,2879.74
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,2,225.12,2633.67,13.0023,5.50912,2887.05,2877.3
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,3,221.545,2624.21,13.1057,5.80506,2874.42,2864.67
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,4,229.506,2638.01,13.0852,5.73133,2893.62,2886.33
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,5,223.959,2628.38,13.169,5.77536,2880.92,2871.28
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,6,227.281,2629.56,13.0498,5.75386,2885.53,2875.64
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,7,224.561,2628.43,13.0318,5.42618,2880.4,2871.45
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,8,225.546,2639.13,13.0588,5.8153,2893.16,2883.55
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,9,227.42,2646.48,12.985,5.8071,2900.97,2892.69
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,10,226.537,2636.84,13.0656,5.72826,2889.92,2882.17
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,11,226.118,2638.07,13.0924,5.40262,2892.35,2882.68
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,12,226.942,2638.17,13.0712,5.7129,2891.83,2883.9
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,13,225.662,2633.47,12.8726,5.74976,2887.63,2877.75
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,14,224.505,2632,13.1167,5.72416,2884.36,2875.34
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,15,226.543,2639.11,13.1498,5.77229,2891.35,2884.58
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,16,224.451,2665.94,13.002,5.81939,2918.72,2909.21
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,17,227.704,2643.2,13.0127,5.75898,2899.12,2889.67
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,18,227.016,2636.34,13.1246,5.7385,2891.92,2882.22
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,19,227.116,2648.5,12.9773,5.46918,2903.39,2894.07
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,20,224.944,2638.1,13.2089,5.43949,2890.81,2881.69
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,21,226.175,2632.78,13.0768,5.54496,2887.48,2877.58
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,22,223.846,2628.59,13.0596,5.79891,2880.88,2871.3
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,23,225.198,2636.62,13.0242,5.57875,2890.04,2880.42
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,24,225.225,2620.38,13.094,5.81734,2874.24,2864.52
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,25,226.154,2631.66,13.1799,5.77946,2886.51,2876.77
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,26,225.654,2632.92,13.0168,5.80198,2887.06,2877.4
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,27,224.523,2627.52,13.1537,5.80915,2880.99,2871.01
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,28,225.72,2624.71,13.1644,5.71392,2878.19,2869.31
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,512,29,226.506,2635.16,13.1202,5.79072,2890.33,2880.58
