dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,0,449.325,10.5412,72.7345,6.20646,538.916,538.807
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,1,443.141,10.5386,65.1103,5.9904,524.856,524.78
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,2,443.796,10.5388,65.1342,6.00166,525.543,525.471
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,3,446.761,10.5346,64.8616,5.96992,528.205,528.127
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,4,442.128,10.5373,65.0382,5.98528,523.78,523.689
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,5,441.085,10.534,64.8107,5.99142,522.493,522.421
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,6,441.331,10.5318,64.6523,5.98835,522.576,522.503
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,7,446.579,10.5344,64.8191,5.99245,528.002,527.925
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,8,449.363,10.5347,64.905,5.99142,530.873,530.794
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,9,447.369,10.536,64.9387,5.96992,528.89,528.814
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,10,447.866,10.5345,65.1256,5.97709,529.581,529.503
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,11,440.94,10.536,64.8876,5.98221,522.427,522.346
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,12,446.665,10.5319,65.0108,5.98835,528.276,528.196
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,13,448.024,10.5291,64.981,5.97606,529.585,529.51
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,14,443.094,10.5336,64.6025,5.9863,524.298,524.216
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,15,445.678,10.5364,64.9943,5.98426,527.268,527.193
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,16,447.294,10.5315,64.9799,5.98016,528.865,528.785
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,17,443.6,10.5312,64.8498,5.97606,525.032,524.957
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,18,441.178,10.5334,64.9371,5.9648,522.692,522.613
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,19,448.711,10.5324,64.9371,5.98733,530.247,530.168
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,20,447.122,10.5353,64.9838,5.98835,528.715,528.629
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,21,441.763,10.5357,64.9721,5.99859,523.346,523.269
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,22,446.679,10.5357,65.04,5.99142,528.339,528.246
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,23,442.999,10.5332,65.017,5.97197,524.598,524.521
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,24,441.606,10.5345,65.0109,5.98528,523.214,523.137
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,25,449.631,10.5329,64.9673,5.98528,531.195,531.117
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,26,441.189,10.5319,64.8698,5.98323,522.652,522.574
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,27,447.639,10.5347,64.9452,5.99347,529.189,529.112
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,28,447.635,10.5372,65.0219,5.98528,529.254,529.18
3,double,uniform,CPU,"D | D | D | D | D | D",1,512,29,443.748,10.534,64.9899,5.98528,525.332,525.258
