dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,0,444.347,10.5636,68.8489,6.4553,530.329,530.215
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,1,445.032,10.5528,61.5207,5.99142,523.186,523.097
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,2,444.045,10.5487,61.5,5.97299,522.145,522.067
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,3,442.552,10.5507,61.5582,5.99245,520.732,520.653
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,4,444.816,10.5475,61.6965,5.98733,523.133,523.047
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,5,441.808,10.5617,61.5401,5.99142,519.993,519.901
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,6,439.595,10.5436,61.6149,5.98016,517.811,517.733
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,7,442.535,10.5505,61.5972,5.99757,520.761,520.681
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,8,439.435,10.545,61.6691,5.98835,517.719,517.637
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,9,439.164,10.5468,61.7098,6.0119,517.51,517.433
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,10,441.774,10.5422,61.6515,5.98426,520.029,519.952
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,11,442.196,10.5455,61.4505,5.9904,520.258,520.183
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,12,436.553,10.5534,61.5477,5.98016,514.71,514.634
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,13,440.709,10.5438,61.6804,5.98016,518.991,518.913
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,14,443.319,10.548,61.7951,6.00474,521.744,521.667
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,15,443.236,10.5486,61.4232,5.99757,521.281,521.205
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,16,439.641,10.5496,61.7304,5.98528,517.983,517.906
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,17,446.255,10.546,61.4571,5.97402,524.311,524.232
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,18,443.985,10.5444,61.716,6.00064,522.324,522.246
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,19,439.303,10.5491,61.6119,5.97504,517.515,517.439
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,20,441.701,10.5508,61.7,5.97914,520.007,519.93
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,21,438.942,10.5477,61.678,5.99142,517.238,517.159
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,22,439.098,10.5456,61.5583,5.98426,517.269,517.187
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,23,442.72,10.545,61.7696,5.99552,521.111,521.03
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,24,443.84,10.5481,61.6163,6.00781,522.091,522.012
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,25,443.899,10.5433,61.4956,5.98323,521.997,521.921
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,26,441.519,10.5459,61.7635,5.97402,519.88,519.803
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,27,439.561,10.5463,61.6441,5.99245,517.833,517.744
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,28,440.064,10.5433,61.569,5.97606,518.228,518.152
3,double,uniform,CPU,"D | D | D | D | N | D",1,512,29,436.432,10.5463,61.445,5.9863,514.486,514.41
