dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,0,87.0302,1054.83,5.27881,1.30861,1148.65,1148.44
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,1,85.2686,823.132,5.30995,0.99632,914.837,914.707
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,2,85.2956,835.064,5.24565,0.994272,923.399,926.599
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,3,85.2403,829.554,5.2866,0.999392,921.197,921.08
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,4,86.3959,824.649,5.27515,0.990144,914.754,917.311
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,5,85.6402,826.455,5.29632,1.01168,916.264,918.403
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,6,85.2415,832.125,5.20329,0.992224,923.686,923.562
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,7,85.0832,822.745,5.32526,0.98816,914.259,914.142
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,8,85.1354,829.371,5.27584,0.996352,920.897,920.778
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,9,85.6173,969.28,5.19659,0.985056,1057.42,1061.08
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,10,85.2421,871.825,5.26124,0.987104,928.216,963.316
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,11,86.3239,832.093,5.21065,0.990144,918.582,924.618
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,12,85.3345,819.967,5.22373,0.988128,905.317,911.514
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,13,86.3266,825.753,5.21128,0.987072,917.81,918.278
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,14,85.2327,831.482,5.31733,0.990144,923.133,923.022
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,15,85.1435,823.054,5.31921,0.992224,914.623,914.509
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,16,85.4247,829.643,5.23991,0.994272,921.416,921.302
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,17,85.0928,882.339,5.25704,0.992224,973.795,973.681
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,18,85.664,831.638,5.37457,1.00346,923.809,923.68
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,19,85.3594,850.265,5.29264,0.98816,938.482,941.905
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,20,86.4178,828.931,5.26182,0.98816,919.434,921.599
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,21,86.3638,832.927,5.31405,0.992256,925.717,925.598
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,22,85.6002,918.145,5.3028,0.989184,1002,1010.04
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,23,85.4399,861.197,5.29786,0.987104,939.105,952.922
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,24,85.1525,906.96,5.31605,0.993248,998.535,998.422
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,25,85.4076,923.204,5.2836,0.99024,1015.01,1014.89
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,26,85.3531,852.947,5.2782,1.00042,944.693,944.578
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,27,85.2893,835.129,5.27233,0.98816,926.791,926.679
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,28,85.1672,832.264,5.24855,0.989216,923.782,923.669
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,512,29,85.1784,873.343,5.28904,0.998368,964.926,964.809
