dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,0,74.9457,937.951,6.11574,1.88211,935.267,1020.89
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,1,74.6621,953.162,6.10392,1.06803,955.879,1035
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,2,75.0741,917.573,6.08651,1.08237,909.241,999.816
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,3,74.6183,928.366,6.07995,1.06906,928.234,1010.13
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,4,75.5757,908.828,6.06497,1.06598,896.915,991.534
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,5,74.9377,883.223,6.08101,1.06598,892.825,965.308
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,6,74.2835,886.746,6.10228,1.06291,881.72,968.194
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,7,74.6907,886.767,6.04997,1.06086,884.553,968.569
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,8,74.5504,885.754,6.09799,1.06701,881.517,967.469
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,9,74.1687,879.426,6.09637,1.06394,898.704,960.755
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,10,74.5362,883.574,6.12283,1.06496,890.85,965.298
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,11,75.2664,879.545,6.08002,1.06496,873.031,961.956
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,12,74.3478,877.245,6.06537,1.06086,878.377,958.719
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,13,75.3133,872.864,6.08652,1.07315,873.871,955.337
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,14,75.5284,895.74,6.0541,1.06598,901.249,978.389
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,15,75.463,878.863,6.1005,1.06189,890.893,961.489
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,16,74.7147,893.594,6.13507,1.06906,871.978,975.512
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,17,75.3704,888.247,6.12431,1.07008,880.347,970.812
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,18,74.9271,871.832,6.11058,1.06291,863.631,953.932
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,19,74.4818,872.129,6.05794,1.05882,870.041,953.728
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,20,74.6136,883.53,6.08586,1.06291,871.443,965.292
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,21,74.4236,884.862,6.07229,1.06291,878.54,966.421
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,22,75.1787,867.581,6.10539,1.06086,863.965,949.926
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,23,75.484,883.007,6.10137,1.07622,878.077,965.669
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,24,74.5086,884.536,6.07694,1.06701,860.837,966.189
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,25,75.9538,875.81,6.0726,1.06496,870.244,958.902
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,26,74.5393,874.012,6.05389,1.06189,867.923,955.667
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,27,75.6254,870.644,6.06912,1.06598,869.778,953.405
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,28,74.7629,878.113,6.09077,1.06086,863.933,960.027
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,29,75.4665,889.231,6.09052,1.06598,896.468,971.854
