dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,0,65.5577,1108.02,5.4032,2.11958,1171.12,1181.1
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,1,63.9325,951.08,5.32773,1.7305,1000.94,1022.07
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,2,63.9565,965.345,5.30837,1.73562,1030.43,1036.35
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,3,64.3442,949.369,5.35231,1.72848,1020.92,1020.79
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,4,60.5655,961.612,5.3057,1.71725,1027.91,1029.2
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,5,64.053,958.082,5.30096,1.72749,1028.59,1029.16
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,6,63.9824,992.517,5.46071,1.72234,1063.8,1063.68
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,7,63.9123,952.439,5.39398,1.74794,1022.52,1023.49
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,8,63.7744,934.099,5.3968,1.72544,1005.12,1005
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,9,60.2517,963.526,5.33547,1.73158,1022.11,1030.84
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,10,59.759,966.772,5.17844,1.75514,1027.85,1033.46
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,11,64.6707,948.124,5.29998,1.72742,1013.48,1019.82
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,12,63.995,939.884,5.29986,1.72234,1010.9,1010.9
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,13,63.6552,934.861,5.42473,1.7264,1005.79,1005.67
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,14,64.0136,974.599,5.2976,1.72746,1029.89,1045.64
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,15,63.8836,931.318,5.30166,1.7264,984.91,1002.23
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,16,64.5915,957.807,5.36122,1.75507,1029.39,1029.52
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,17,63.9566,941.923,5.32199,1.73462,1012.11,1012.94
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,18,63.5107,957.294,5.35699,1.72544,1028.01,1027.89
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,19,59.7048,969.471,5.29723,1.7265,1027.57,1036.2
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,20,63.4045,929.652,5.38779,1.72029,1000.29,1000.16
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,21,64.0173,929.596,5.29408,1.7193,998.174,1000.63
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,22,64.1661,939.72,5.29768,1.7264,1005.46,1010.91
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,23,63.7697,950.262,5.29751,1.72336,1020.39,1021.05
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,24,63.6635,932.171,5.34448,1.71722,1003.01,1002.9
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,25,63.8516,947.653,5.29849,1.72646,1015.97,1018.53
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,26,63.8142,1003.83,5.38373,1.752,1063.45,1074.78
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,27,59.7301,953.865,5.29751,1.73562,1005.7,1020.63
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,28,64.6124,934.505,5.30004,1.72746,1001.22,1006.15
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,29,60.6407,929.386,5.18392,1.75309,993.071,996.964
