dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,0,125.689,0,4961.91,1.96813,5086.16,5089.57
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,1,125.58,0,4396.8,1.45101,4523.97,4523.83
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,2,124.998,0,4386.83,1.44077,4507.63,4513.26
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,3,124.892,0,4406.79,1.44077,4527.7,4533.12
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,4,126.405,0,4437.92,1.45613,4564.75,4565.78
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,5,124.561,0,4397.41,1.43155,4521.83,4523.4
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,6,125.745,0,4528.83,1.42848,4652.39,4656.01
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,7,125.164,0,4444.99,1.44896,4567.08,4571.6
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,8,126.797,0,4391.12,1.43053,4519.46,4519.35
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,9,125.631,0,4402.29,1.4336,4522.41,4529.35
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,10,125.976,0,4385.09,1.44483,4512.64,4512.51
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,11,125.214,0,4388.91,1.43258,4514.84,4515.56
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,12,125.02,0,4386.56,1.43053,4507.2,4513.01
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,13,125.605,0,4386.05,1.43258,4509.24,4513.08
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,14,126.455,0,4405.67,1.43971,4532.25,4533.57
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,15,125.18,0,4393.66,1.43872,4520.18,4520.28
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,16,125.253,0,4394.04,1.43258,4519.88,4520.72
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,17,125.444,0,4401.72,1.43565,4526.42,4528.6
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,18,125.385,0,4384.89,1.4295,4505.28,4511.71
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,19,125.308,0,4391.76,1.43053,4518.43,4518.5
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,20,124.52,0,4375.6,1.44179,4497.22,4501.57
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,21,125.412,0,4397.84,1.44182,4519.27,4524.69
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,22,125.831,0,4390.79,1.4295,4518.16,4518.05
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,23,124.931,0,4384.2,1.4295,4509.76,4510.56
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,24,124.515,0,4388.1,1.4295,4503.99,4514.05
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,25,125.217,0,4385.9,1.4295,4510.06,4512.55
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,26,125.202,0,4392.3,1.43155,4515.1,4518.94
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,27,126.122,0,4377.42,1.43053,4505.08,4504.98
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,28,126.441,0,4413.41,1.4377,4539.89,4541.29
3,double,uniform,CPU,"N | N | N | N | N | N",4,512,29,125.288,0,4390.88,1.44077,4514.57,4517.61
