dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,0,445.005,10.5424,45.8118,6.15936,507.633,507.518
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,1,440.828,10.535,45.8581,6.01293,503.31,503.234
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,2,446.875,10.5372,45.7548,6.00166,509.248,509.169
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,3,441.996,10.533,45.8856,6.01498,504.505,504.429
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,4,440.299,10.5362,45.8803,6.01293,502.804,502.728
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,5,444.302,10.5338,45.7734,6.01702,506.71,506.626
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,6,446.637,10.539,45.6955,6.02112,508.976,508.893
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,7,446.012,10.5337,45.8128,6.01293,508.45,508.371
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,8,447.914,10.5374,45.8365,6.01702,510.381,510.304
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,9,444.604,10.5338,45.876,6.01395,507.103,507.027
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,10,447.21,10.5351,45.9313,6.01805,509.771,509.694
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,11,446.621,10.534,45.8341,6.00781,509.071,508.997
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,12,446.419,10.5373,45.7648,6.01498,508.809,508.736
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,13,448.133,10.533,45.5614,6.016,510.318,510.244
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,14,441.101,10.5359,45.8639,6.02624,503.608,503.527
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,15,443.007,10.5338,45.7986,6.016,505.43,505.355
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,16,442.937,10.5321,45.847,6.00269,505.393,505.319
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,17,447.706,10.5343,45.8414,6.016,510.175,510.098
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,18,448.109,10.5332,45.7676,6.01293,510.499,510.423
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,19,447.221,10.5333,45.7587,6.02624,509.615,509.539
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,20,443.298,10.5354,45.8912,6.0375,505.836,505.762
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,21,443.738,10.5353,45.9402,6.01805,506.306,506.232
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,22,446.987,10.5373,45.7504,6.00474,509.356,509.279
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,23,446.644,10.5387,45.7918,6.01498,509.064,508.99
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,24,442.98,10.5333,45.6868,6.00986,505.285,505.21
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,25,446.434,10.5358,45.9359,6.0201,509.002,508.925
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,26,443.366,10.5396,45.8149,6.0119,505.806,505.732
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,27,440.981,10.5354,45.8348,6.02317,503.448,503.374
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,28,443.631,10.5339,45.792,6.02317,506.057,505.98
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,29,441.826,10.5343,45.6608,5.99757,504.094,504.019
