dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,0,226.775,3993.88,28.0422,7.48954,4256.39,4256.18
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,1,225.079,4027.67,28.0431,6.9335,4287.83,4287.72
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,2,224.922,4019.5,26.7281,6.92838,4277.56,4278.08
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,3,226.585,4056.72,26.9843,6.96422,4317.38,4317.26
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,4,226.367,4049.8,26.9278,6.9417,4310.14,4310.04
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,5,224.726,4044.07,27.55,6.93965,4302.51,4303.29
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,6,223.574,3991.7,25.4401,6.97549,4247.78,4247.69
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,7,225.778,3977.22,25.5777,6.96422,4235.64,4235.54
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,8,223.436,3968.37,25.3934,6.96934,4224.27,4224.16
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,9,227.644,3968.6,25.5082,6.97139,4228.84,4228.73
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,10,227.04,3986.05,25.476,6.97446,4243.42,4245.54
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,11,227.151,3978.57,25.4861,6.96013,4238.27,4238.17
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,12,226.964,4004.66,25.4071,6.97344,4262.81,4264
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,13,227.351,3996.31,26.8195,6.96115,4257.56,4257.44
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,14,226.373,4023,26.9615,6.94477,4280.92,4283.28
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,15,223.304,3986.39,25.4424,6.98163,4242.23,4242.12
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,16,225.041,3974.21,25.4224,6.9673,4231.27,4231.64
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,17,223.579,3962.14,25.5846,6.97651,4218.38,4218.28
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,18,225.868,3975.38,25.2914,6.97958,4233.14,4233.52
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,19,225.472,3968.85,25.5364,6.97651,4226.94,4226.83
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,20,224.058,3976.44,25.423,6.96218,4232.98,4232.88
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,21,226.728,3970.69,25.4852,6.97037,4229.98,4229.88
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,22,226.455,3986.51,25.3836,6.97549,4245.43,4245.33
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,23,227.794,3986.8,25.3928,6.97549,4244.5,4246.97
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,24,225.67,3956.45,25.478,6.97037,4214.67,4214.57
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,25,226.648,4019.26,26.5841,6.94374,4278.34,4279.43
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,26,224.842,3945.79,25.5894,6.97651,4203.31,4203.2
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,27,226.399,3983.63,25.3935,6.97549,4242.51,4242.39
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,28,226.926,3990.29,25.3673,6.97856,4246.92,4249.56
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,29,223.143,3969.62,25.6001,6.97754,4225.44,4225.34
