dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,0,228.848,35.7862,28.9956,7.34618,299.683,300.976
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,1,227.952,30.0073,27.3619,7.13216,290.564,292.453
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,2,227.618,30.0315,26.4667,7.16493,289.512,291.281
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,3,231.358,29.9937,26.497,7.168,295.12,295.017
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,4,227.409,30.0755,26.359,7.18336,291.126,291.027
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,5,227.528,30.2059,26.4003,7.17414,289.852,291.308
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,6,226.885,29.9991,26.4786,7.19462,289.318,290.557
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,7,227.076,30.037,26.4024,7.18234,289.479,290.697
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,8,228.27,30.1615,26.3763,7.18541,290.16,291.993
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,9,228.693,30.0354,26.4945,7.20077,291.127,292.424
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,10,227.831,30.0027,26.5173,7.17722,289.772,291.528
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,11,228.77,30.0582,26.4658,7.17414,290.114,292.468
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,12,228.152,30.0429,26.3419,7.17619,291.087,291.713
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,13,228.249,30.0667,26.3964,7.19053,291.491,291.903
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,14,229.841,29.9832,26.4255,7.15571,292.11,293.405
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,15,228.851,30.7034,26.5041,7.17926,292.55,293.237
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,16,227.848,30.0241,26.3776,7.15571,291.502,291.406
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,17,225.817,30.6454,26.3489,7.16595,289.249,289.977
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,18,228.017,30.036,26.493,7.17312,290.043,291.719
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,19,227.83,29.9641,26.4604,7.17619,291.531,291.43
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,20,228.291,30.1103,26.2741,7.17926,290.545,291.855
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,21,228.72,30.0424,26.4923,7.17824,292.042,292.433
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,22,228.642,30.0441,26.3643,7.17517,290.552,292.226
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,23,230.203,30.0045,26.5465,7.16595,294.016,293.92
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,24,226.965,30.1585,26.337,7.17312,290.729,290.633
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,25,228.874,30.1749,26.3337,7.19565,292.536,292.578
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,26,228.224,30.0455,26.4446,7.17414,291.41,291.888
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,27,228.023,30.0295,26.4609,7.17312,291.787,291.687
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,28,229.217,30.7458,26.4336,7.15059,292.887,293.547
3,double,uniform,CPU,"P | P | P | P | D | N",2,512,29,227.451,30.0483,26.3486,7.17619,291.123,291.024
