dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,0,443.549,15.8128,41.8061,14.7251,516.038,515.893
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,1,443.552,15.79,41.4277,14.3258,515.182,515.095
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,2,438.702,15.7927,41.4395,14.3432,510.364,510.277
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,3,439.929,15.788,41.4142,14.2879,511.511,511.419
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,4,438.935,15.8008,41.7239,14.379,510.929,510.839
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,5,441.39,15.7873,41.365,14.3288,512.955,512.871
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,6,449.142,15.7907,41.5038,14.335,520.857,520.771
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,7,438.427,15.7905,41.3025,14.3206,509.924,509.84
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,8,445.198,15.7904,42.1878,14.3196,517.582,517.495
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,9,441.233,15.7858,41.08,14.3636,512.546,512.463
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,10,444.066,15.7863,40.9488,14.3391,515.225,515.141
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,11,443.751,15.7916,42.1925,14.337,516.162,516.073
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,12,448.955,15.7916,41.359,14.3268,520.537,520.432
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,13,438.569,15.786,41.49,14.379,510.309,510.224
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,14,445.146,15.7864,41.2691,14.3237,516.625,516.525
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,15,436.058,15.7928,41.6348,14.3718,507.941,507.858
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,16,436.086,15.7859,41.4645,14.336,507.754,507.672
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,17,447.621,15.7916,41.5558,14.3094,519.362,519.278
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,18,442.479,15.7898,41.347,14.3688,514.07,513.984
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,19,443.419,15.7898,41.1794,14.3002,514.771,514.688
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,20,448.749,15.7877,41.4026,14.3247,520.35,520.264
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,21,438.792,15.7867,42.11,14.3145,511.089,511.003
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,22,442.502,15.791,42.0337,14.338,514.752,514.665
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,23,442.237,15.7926,41.5709,14.3309,514.018,513.931
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,24,438.506,15.793,41.5108,14.3493,510.245,510.159
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,25,446.416,15.7854,42.119,14.3094,518.715,518.63
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,26,437.374,15.7878,41.4579,14.3555,509.059,508.976
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,27,436.761,15.7892,41.4822,14.3165,508.434,508.349
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,28,435.812,15.7897,41.3234,14.3186,507.328,507.244
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",1,512,29,439.111,15.7863,42.2404,14.336,511.557,511.474
