dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,0,86.5267,1042.52,6.71551,2.77293,1125.81,1138.53
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,1,84.6092,834.667,6.72161,2.27222,928.396,928.27
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,2,85.1797,820.987,6.70652,2.26192,915.259,915.135
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,3,84.8468,837.647,6.70409,2.27632,926.769,931.474
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,4,85.5831,976.143,6.68361,2.26198,948.154,1070.67
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,5,85.8097,936.443,6.65726,2.2599,975.461,1031.17
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,6,84.8943,846.669,6.65777,2.25994,904.717,940.481
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,7,85.5182,817.791,6.67142,2.2599,909.297,912.241
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,8,84.9447,825.535,6.70736,2.25888,919.566,919.446
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,9,84.7818,819.947,6.66771,2.26294,912.577,913.659
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,10,85.8093,820.233,6.65809,2.27018,914.643,914.971
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,11,85.7839,822.205,6.73352,2.26294,916.417,916.986
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,12,85.584,819.305,6.69829,2.26096,913.969,913.848
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,13,85.5755,838.525,6.70123,2.2681,933.198,933.069
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,14,84.6629,820.643,6.69789,2.26198,914.383,914.266
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,15,84.6664,830.881,6.70268,2.25997,924.634,924.51
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,16,84.9451,826.182,6.66831,2.26403,915.268,920.06
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,17,84.6975,820.864,6.65699,2.2568,913.981,914.475
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,18,85.6676,822.04,6.65934,2.2599,915.257,916.627
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,19,84.6271,824.594,6.70888,2.27222,918.359,918.202
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,20,85.3379,826.227,6.69117,2.25885,920.629,920.515
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,21,84.5508,827.062,6.67322,2.26301,916.682,920.549
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,22,84.7858,821.096,6.65699,2.25885,913.332,914.798
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,23,84.6954,819.179,6.66657,2.26192,912.792,912.803
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,24,84.6087,824.132,6.71728,2.26093,917.858,917.719
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,25,84.8344,817.079,6.74828,2.27021,911.055,910.932
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,26,85.6606,819.596,6.70486,2.26614,914.354,914.227
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,27,84.8265,824.29,6.70226,2.26298,918.202,918.082
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,28,84.8397,820.634,6.65407,2.25789,914.408,914.386
3,double,uniform,CPU,"P | P | P | P | N | D",6,512,29,84.5982,822.09,6.69175,2.25789,915.749,915.638
