dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,0,125.714,2121.83,11.9449,4.33962,2254.26,2263.83
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,1,125.738,2065.66,11.9095,3.41709,2206.88,2206.73
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,2,124.996,1992.97,11.9731,3.44566,2132.27,2133.39
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,3,125.713,2023.21,11.8825,3.41808,2163.26,2164.22
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,4,125.268,2053.46,11.8909,3.40982,2194.18,2194.03
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,5,127.263,2057.44,11.8968,3.41917,2197.41,2200.02
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,6,124.884,2015.66,11.907,3.43648,2154.2,2155.89
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,7,126.911,2013.14,11.9486,3.43245,2151.39,2155.43
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,8,125.316,2070.85,11.8974,3.4232,2211.03,2211.49
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,9,126.938,2014.16,11.8898,3.42115,2154.26,2156.41
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,10,126.57,2004.69,11.903,3.4129,2146.73,2146.58
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,11,125.27,2005.73,11.8829,3.41293,2145.44,2146.3
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,12,127.259,2009.99,11.8905,3.41494,2151.74,2152.56
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,13,125.315,2039.36,11.9041,3.41603,2178.85,2180
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,14,125.55,2055.99,11.981,3.43661,2197.15,2196.96
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,15,124.807,1988.07,11.8943,3.42218,2128.34,2128.19
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,16,124.761,2003.27,11.8846,3.42211,2142.53,2143.34
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,17,125.309,2045.4,11.8936,3.42218,2186.18,2186.03
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,18,124.799,2033.22,11.8915,3.41494,2173.47,2173.32
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,19,126.26,2047.84,11.9041,3.40474,2189.57,2189.41
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,20,125.196,2046.35,11.8952,3.41805,2187.01,2186.85
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,21,125.607,2092.73,11.8893,3.4201,2231.83,2233.65
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,22,125.842,2097.2,11.9784,3.43341,2238.64,2238.45
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,23,125.293,2042.19,11.8862,3.41498,2182.07,2182.78
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,24,125.496,2022.67,11.8857,3.41699,2160.98,2163.47
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,25,126.702,2090.93,11.9024,3.40886,2231.24,2232.94
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,26,125.586,2052.48,11.9013,3.41395,2193.55,2193.38
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,27,124.553,2022.97,11.8935,3.41293,2162.98,2162.83
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,28,124.843,1995.29,11.8861,3.41395,2135.4,2135.44
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,512,29,125.229,2037.77,11.8984,3.4119,2178.46,2178.31
