dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,0,448.173,0,184.254,14.5377,647.088,646.965
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,1,441.428,0,35.4612,14.2715,491.237,491.161
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,2,447.764,0,35.5485,14.2817,497.672,497.594
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,3,446.444,0,35.3459,14.3053,496.178,496.095
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,4,447.283,0,36.0951,14.2735,497.733,497.652
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,5,443.484,0,35.7525,14.2776,493.596,493.514
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,6,444.065,0,35.2291,14.2705,493.646,493.564
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,7,441.148,0,35.9552,14.2694,491.456,491.373
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,8,449.06,0,36.0859,14.2592,499.491,499.405
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,9,447.754,0,35.3207,14.2766,497.43,497.351
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,10,447.413,0,35.3032,14.2664,497.065,496.983
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,11,444.635,0,35.7892,14.3165,494.82,494.741
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,12,441.263,0,35.3237,14.2479,490.916,490.835
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,13,443.777,0,35.2487,14.2879,493.396,493.313
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,14,446.938,0,35.9779,14.2981,497.3,497.214
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,15,447.977,0,35.4188,14.2244,497.702,497.621
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,16,443.097,0,35.4785,14.3176,492.979,492.893
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,17,446.839,0,35.2358,14.2981,496.457,496.373
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,18,448.987,0,35.2522,14.2459,498.579,498.485
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,19,447.592,0,35.7641,14.2991,497.738,497.655
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,20,442.933,0,35.5757,14.3094,492.901,492.818
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,21,448.08,0,36.4122,14.3073,498.881,498.8
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,22,446.414,0,35.4119,14.2797,496.188,496.106
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,23,440.781,0,35.2525,14.2561,490.371,490.29
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,24,448.067,0,35.6796,14.2879,498.118,498.035
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,25,448.394,0,35.9417,14.2889,498.705,498.624
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,26,443.81,0,36.1498,14.2868,494.324,494.246
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,27,441.925,0,35.5291,14.2572,491.794,491.712
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,28,441.856,0,35.0932,14.2817,491.312,491.231
3,double,uniform,CPU,"P | P | P | P | P | P",1,512,29,440.946,0,36.094,14.2633,491.382,491.304
