dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,0,2.79405,5.29877,7.46318,2.57024,27.3917,18.1262
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,1,2.75725,5.28743,7.44323,2.46682,26.9526,17.9547
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,2,2.75606,5.28861,7.41809,2.48934,26.9366,17.9521
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,3,2.75517,5.28718,7.41024,2.44736,26.9026,17.9
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,4,2.75725,5.28809,7.42888,2.47398,27.0065,17.9482
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,5,2.75686,5.28648,7.42182,2.45965,26.9349,17.9248
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,6,2.75638,5.28994,7.42323,2.44838,26.9617,17.9179
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,7,2.75776,5.28787,7.42999,2.4576,26.8848,17.9332
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,8,2.75635,5.28808,7.42996,2.43507,26.9115,17.9095
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,9,2.75914,5.28769,7.41993,2.43507,26.9824,17.9018
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,10,2.75661,5.28728,7.41684,2.47091,26.8704,17.9316
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,11,2.75818,5.28733,7.4164,2.42278,26.9826,17.8847
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,12,2.75411,5.28752,7.41742,2.44736,26.8736,17.9064
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,13,2.75651,5.29395,7.42399,2.45555,26.9149,17.93
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,14,2.75738,5.28671,7.42608,2.432,26.8375,17.9022
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,15,2.75834,5.28561,7.43444,2.43814,26.9341,17.9165
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,16,2.75558,5.29067,7.4171,2.49754,26.982,17.9609
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,17,2.75766,5.28768,7.4189,2.49958,26.9846,17.9638
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,18,2.7545,5.28832,7.42755,2.46374,26.9719,17.9341
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,19,2.75798,5.28957,7.43058,2.49139,26.9436,17.9695
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,20,2.75814,5.28727,7.41403,2.45146,26.8874,17.9109
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,21,2.75773,5.2878,7.4188,2.46067,26.9447,17.925
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,22,2.75459,5.2875,7.42057,2.47603,26.9621,17.9387
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,23,2.7568,5.28893,7.41676,2.44941,26.8826,17.9119
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,24,2.75971,5.28722,7.42636,2.41664,26.8953,17.8899
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,25,2.75898,5.28716,7.42176,2.45043,26.9188,17.9183
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,26,2.75552,5.28725,7.42319,2.46682,26.8285,17.9328
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,27,2.75763,5.29045,7.41715,2.49344,26.9647,17.9587
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,28,2.75491,5.28697,7.42433,2.45658,26.9007,17.9228
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,29,2.75542,5.2885,7.41722,2.47706,26.9744,17.9382
