dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,0,0.819552,970.057,2.89938,1.46733,978.31,975.243
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,1,0.72912,971.395,2.89765,1.14483,978.874,976.166
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,2,0.72416,995.003,2.86193,1.16122,1002.5,999.75
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,3,0.72288,955.393,2.87854,1.14381,962.846,960.138
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,4,0.737792,945.321,2.93349,1.16531,952.876,950.158
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,5,0.72256,959.569,2.86843,1.1663,967.032,964.326
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,6,0.726336,938.969,2.89262,1.14995,946.464,943.738
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,7,0.727136,963.239,2.89085,1.15098,970.695,968.008
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,8,0.736992,958.946,2.93088,1.17555,966.53,963.789
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,9,0.713824,951.437,2.87942,1.14278,958.881,956.173
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,10,0.724896,981.573,2.88575,1.14688,989.038,986.331
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,11,0.728608,945.863,2.89545,1.14688,953.314,950.634
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,12,0.725632,990.121,2.88838,1.14995,997.618,994.885
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,13,0.708864,964.689,2.89765,1.14278,972.165,969.439
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,14,0.7352,934.225,2.85848,1.16842,941.748,938.987
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,15,0.72576,977.297,2.89446,1.16938,984.815,982.087
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,16,0.70992,965.367,2.89157,1.1561,972.86,970.124
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,17,0.725504,934.112,2.86732,1.14688,941.55,938.852
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,18,0.724608,962.487,2.89962,1.14176,969.932,967.253
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,19,0.724544,958.012,2.84823,1.16013,965.463,962.745
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,20,0.712512,975.536,2.88183,1.16742,983.058,980.298
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,21,0.72448,987.636,2.86965,1.17555,995.146,992.406
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,22,0.724064,942.542,2.83416,1.14989,949.953,947.25
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,23,0.724544,983.988,2.84963,1.15302,991.421,988.715
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,24,0.726752,950.282,2.85802,1.16326,957.794,955.03
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,25,0.723328,960.04,2.85658,1.16422,967.51,964.784
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,26,0.723264,955.356,2.85721,1.16426,962.829,960.101
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,27,0.723648,963.477,2.85522,1.1591,970.943,968.215
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,28,0.705888,970.836,2.87506,1.15811,978.365,975.575
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,29,0.70304,948.902,2.84463,1.1561,956.361,953.606
