dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,0,1.22659,366.828,5.77121,1.01987,374.803,374.846
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,1,0.618112,224.972,5.76118,0.621536,231.861,231.973
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,2,0.618144,225.131,5.75096,0.616384,231.996,232.116
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,3,0.622528,220.794,5.76462,0.62256,227.686,227.804
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,4,0.615424,226.354,5.75271,0.614336,233.226,233.337
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,5,0.613856,223.506,5.74482,0.61536,230.369,230.48
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,6,0.623168,222.891,5.75673,0.614368,229.765,229.886
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,7,0.625984,225.945,5.75809,0.621536,232.248,232.95
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,8,0.60544,224.664,5.74512,0.61232,231.512,231.627
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,9,0.596,227.992,5.6251,0.698368,234.19,234.912
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,10,0.611648,218.731,5.74657,0.611264,225.58,225.7
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,11,0.613824,222.247,5.74374,0.61744,229.098,229.222
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,12,0.614752,222.502,5.75106,0.61648,229.369,229.484
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,13,0.617088,222.848,5.74919,0.616416,229.773,229.831
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,14,0.61312,223.156,5.74548,0.615392,230.012,230.13
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,15,0.60496,226.078,5.75206,0.614336,232.99,233.049
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,16,0.617984,222.293,5.75435,0.611296,229.163,229.277
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,17,0.61728,225.485,5.74865,0.615392,232.342,232.466
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,18,0.62192,218.583,5.75333,0.61648,225.458,225.575
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,19,0.609824,228.837,5.74707,0.61232,235.12,235.807
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,20,0.655008,218.354,5.83964,0.634816,225.435,225.484
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,21,0.619488,220.955,5.74431,0.61536,227.816,227.934
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,22,0.618176,224.16,5.75012,0.613312,231.027,231.142
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,23,0.6168,219.63,5.74271,0.618496,226.495,226.609
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,24,0.615936,217.392,5.74855,0.616416,224.253,224.372
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,25,0.610592,219.999,5.74322,0.613344,226.852,226.966
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,26,0.607424,218.144,5.74104,0.615392,224.993,225.108
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,27,0.617792,220.49,5.74598,0.617472,227.365,227.471
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,28,0.61744,218.883,5.75352,0.618464,225.758,225.873
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,29,0.61968,224.139,5.75445,0.617472,231.012,231.13
