dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,0,2.79024,0,6851.07,3.80928,6857.8,6857.67
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,1,2.75885,0,6614.48,3.50106,6620.87,6620.74
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,2,2.76314,0,6615.28,3.51642,6621.71,6621.56
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,3,2.76422,0,6616.09,3.51949,6622.52,6622.37
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,4,2.7607,0,6615.72,3.5113,6622.14,6621.99
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,5,2.75891,0,6613.88,3.51846,6620.29,6620.16
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,6,2.76218,0,6616.51,3.49696,6622.9,6622.77
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,7,2.76224,0,6616.13,3.52666,6622.55,6622.42
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,8,2.76467,0,6617.87,3.51437,6624.29,6624.15
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,9,2.7631,0,6616.45,3.50822,6622.87,6622.73
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,10,2.76218,0,6615.92,3.50618,6622.32,6622.19
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,11,2.75949,0,6615.63,3.50618,6622.02,6621.89
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,12,2.76234,0,6616.61,3.51027,6623.01,6622.88
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,13,2.7616,0,6617.55,3.51642,6623.96,6623.83
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,14,2.76278,0,6615.43,3.51539,6621.85,6621.71
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,15,2.7617,0,6615.54,3.50106,6621.94,6621.81
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,16,2.76131,0,6613.45,3.51437,6619.86,6619.73
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,17,2.75862,0,6615.94,3.51232,6622.34,6622.21
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,18,2.76102,0,6618.51,3.51539,6624.92,6624.79
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,19,2.75936,0,6614.72,3.50208,6621.11,6620.99
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,20,2.76778,0,6616.91,3.5113,6623.33,6623.19
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,21,2.7623,0,6617.35,3.5113,6623.75,6623.62
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,22,2.75942,0,6616.26,3.50208,6622.65,6622.52
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,23,2.75946,0,6614.97,3.52051,6621.38,6621.25
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,24,2.76397,0,6618.73,3.49901,6625.12,6624.99
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,25,2.75994,0,6614.51,3.51539,6620.92,6620.79
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,26,2.7632,0,6617.08,3.50515,6623.48,6623.35
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,27,2.75984,0,6616.96,3.51846,6623.38,6623.24
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,28,2.76291,0,6615.58,3.50822,6622,6621.85
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,29,2.76365,0,6617.92,3.51437,6624.33,6624.2
