dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,0,0.80464,677.842,3.89973,1.54112,684.282,684.087
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,1,0.725568,673.268,4.14952,0.875456,679.097,679.018
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,2,0.723424,663.926,4.14377,0.881632,669.764,669.675
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,3,0.723616,689.026,4.14574,0.878528,694.841,694.774
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,4,0.72864,662.612,4.14367,0.87856,668.48,668.363
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,5,0.707936,670.247,4.20563,0.890848,676.143,676.052
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,6,0.713088,669.831,4.14743,0.880608,675.662,675.572
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,7,0.721664,664.13,4.13669,0.874432,669.936,669.863
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,8,0.72592,654.602,4.13852,0.87648,660.417,660.343
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,9,0.724736,657.999,4.1442,0.875456,663.808,663.743
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,10,0.72448,669.357,4.14646,0.875488,675.177,675.103
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,11,0.724576,661.896,4.14283,0.877568,667.712,667.641
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,12,0.701856,667.573,4.14155,0.874432,673.386,673.291
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,13,0.726112,662.816,4.14414,0.882688,668.646,668.569
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,14,0.723808,670.988,4.14033,0.876512,676.805,676.729
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,15,0.74016,671.744,4.20402,0.894912,677.681,677.583
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,16,0.731424,661.075,4.14524,0.875488,666.903,666.827
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,17,0.72816,657.352,4.14169,0.873408,663.173,663.095
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,18,0.699872,668.36,4.14565,0.87648,674.19,674.082
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,19,0.708064,674.26,4.14052,0.877536,680.084,679.986
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,20,0.725024,673.914,4.13886,0.87648,679.721,679.654
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,21,0.704864,667.811,4.13992,0.871392,673.621,673.527
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,22,0.722592,663.975,4.14027,0.877536,669.788,669.716
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,23,0.723712,668.571,4.14173,0.877568,674.39,674.314
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,24,0.722944,658.001,4.09164,0.877536,663.801,663.693
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,25,0.723744,670.204,4.15116,0.879552,676.067,675.958
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,26,0.72384,660.549,4.14694,0.87648,666.405,666.296
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,27,0.731488,661.279,4.21778,0.893952,667.263,667.122
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,28,0.722144,663.628,4.17022,0.87856,669.508,669.399
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,29,0.733952,673.709,4.15276,0.87648,679.587,679.472
