dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,0,0.807008,983.7,5.54879,2.79347,993.051,992.849
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,1,0.725344,970.258,5.34673,1.83811,978.29,978.168
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,2,0.726688,934.601,5.3828,1.82989,942.663,942.54
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,3,0.724224,960.901,5.68547,1.8391,969.274,969.15
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,4,0.734784,936.25,5.47008,1.84627,944.446,944.301
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,5,0.725248,960.404,5.48974,1.84518,968.594,968.464
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,6,0.725536,980.889,5.23136,1.83091,988.803,988.676
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,7,0.725696,944.307,5.1744,1.82989,952.158,952.037
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,8,0.723648,975.406,5.5005,1.83603,983.588,983.466
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,9,0.725856,951.478,5.6441,1.82579,959.799,959.674
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,10,0.723104,960.982,5.55957,1.83603,969.225,969.101
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,11,0.733184,981.718,5.45927,1.84314,989.902,989.753
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,12,0.720928,952.414,5.53096,1.8759,960.664,960.542
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,13,0.72496,980.813,5.50621,1.83808,989.011,988.882
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,14,0.723072,967.258,5.44637,1.84826,975.398,975.275
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,15,0.723168,963.707,5.59626,1.8431,971.994,971.869
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,16,0.724064,965.173,5.60899,1.84211,973.474,973.348
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,17,0.722496,966.194,5.57016,1.84413,974.484,974.331
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,18,0.721088,939.542,5.52885,1.84112,947.759,947.633
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,19,0.726176,987.777,5.62668,1.84109,996.093,995.971
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,20,0.73312,993.346,5.58313,1.8657,1001.67,1001.53
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,21,0.72352,978.009,5.5126,1.84413,986.218,986.089
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,22,0.723552,961.983,5.57824,1.84211,970.247,970.127
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,23,0.727552,986.01,5.52047,1.84822,994.229,994.106
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,24,0.721984,938.346,5.50904,1.84826,946.545,946.425
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,25,0.72976,960.093,5.5229,1.84419,968.313,968.19
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,26,0.721216,939.947,5.47802,1.84115,948.112,947.988
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,27,0.734336,957.528,5.45813,1.8401,965.708,965.56
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,28,0.724448,950.651,5.54038,1.87389,958.91,958.79
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",4,512,29,0.724256,973.501,5.57348,1.85136,981.77,981.65
