dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,0,2.07267,15.1322,17.502,2.13709,36.9485,36.844
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,1,1.66512,9.45455,17.4854,1.99373,30.6654,30.5988
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,2,1.66394,9.46012,17.4859,1.99066,30.6757,30.6006
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,3,1.66454,9.46238,17.4726,1.98758,30.6509,30.5871
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,4,1.65741,9.45736,17.4876,1.99066,30.6702,30.593
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,5,1.66646,9.47375,17.4662,1.98861,30.6657,30.595
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,6,1.66064,9.47376,17.4542,1.98861,30.648,30.5772
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,7,1.66445,9.45877,17.4668,1.99066,30.6507,30.5806
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,8,1.65802,9.45776,17.4651,1.99578,30.6502,30.5767
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,9,1.66886,9.46238,17.4678,1.99168,30.6652,30.5907
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,10,1.65987,9.46789,17.465,1.99578,30.6655,30.5886
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,11,1.65856,9.46849,17.4596,1.99168,30.6466,30.5783
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,12,1.66541,9.46535,17.4467,1.98554,30.6317,30.5629
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,13,1.65994,9.45838,17.4909,1.99578,30.6804,30.605
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,14,1.66595,9.46573,17.4701,1.99066,30.6657,30.5924
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,15,1.66496,9.47869,17.4439,1.99168,30.6535,30.5792
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,16,1.66016,9.45883,17.4612,1.99066,30.6446,30.5708
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,17,1.66205,9.45996,17.4476,1.98554,30.6297,30.5551
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,18,1.65226,9.46837,17.4536,1.99168,30.6441,30.5659
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,19,1.65946,9.46041,17.4544,1.99066,30.6391,30.565
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,20,1.66707,9.45937,17.4601,1.98963,30.6532,30.5762
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,21,1.66477,9.45888,17.4672,1.99475,30.6618,30.5856
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,22,1.6639,9.46974,17.4515,1.99373,30.652,30.5789
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,23,1.66653,9.46817,17.4555,1.98963,30.6483,30.5799
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,24,1.66512,9.47305,17.4421,1.98554,30.6395,30.5658
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,25,1.65754,9.45608,17.4534,1.9927,30.6364,30.5597
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,26,1.66214,9.45763,17.4441,1.98861,30.6265,30.5525
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,27,1.66054,9.457,17.4641,1.98861,30.6315,30.5703
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,28,1.65984,9.45161,17.4421,1.98963,30.6155,30.5432
3,float,uniform,GPU,"N | N | N | N | N | N",2,512,29,1.66406,9.4668,17.4596,1.9968,30.6476,30.5872
