dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,0,2.06605,15.7739,10.3838,2.1504,30.4896,30.3741
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,1,1.67382,9.60029,10.3525,2.00192,23.7076,23.6285
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,2,1.66051,9.61228,10.3151,2.00704,23.6698,23.5949
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,3,1.65043,9.59795,10.3178,1.99987,23.6427,23.566
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,4,1.67056,9.60661,10.317,2.00192,23.6698,23.5961
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,5,1.65974,9.60333,10.318,1.99578,23.6519,23.5769
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,6,1.65606,9.60589,10.3236,1.9927,23.6555,23.5783
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,7,1.65846,9.60609,10.3204,1.9968,23.6585,23.5818
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,8,1.65565,9.60261,10.3133,1.9968,23.6423,23.5683
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,9,1.64893,9.60966,10.316,1.99782,23.6468,23.5725
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,10,1.6607,9.61549,10.3151,2.0009,23.6661,23.5922
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,11,1.66384,9.65182,10.3243,2.00499,23.7343,23.6449
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,12,1.65338,9.61991,10.3139,2.00602,23.6702,23.5932
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,13,1.65603,9.60657,10.3221,2.00602,23.6665,23.5907
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,14,1.65933,9.61408,10.3076,1.99782,23.6562,23.5788
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,15,1.65568,9.60321,10.312,1.99885,23.6473,23.5698
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,16,1.65594,9.60281,10.3142,1.99782,23.6454,23.5708
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,17,1.65584,9.60709,10.3152,2.00806,23.6612,23.5862
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,18,1.66134,9.60499,10.3295,1.99373,23.6624,23.5895
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,19,1.6584,9.61259,10.3151,2.00704,23.669,23.5931
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,20,1.65085,9.62104,10.3022,2.00499,23.6537,23.5791
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,21,1.65526,9.61134,10.3114,2.00294,23.6552,23.5809
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,22,1.65347,9.60805,10.3125,2.0009,23.6506,23.5749
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,23,1.65683,9.63049,10.3031,1.9968,23.6629,23.5872
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,24,1.65632,9.6066,10.321,2.00294,23.6609,23.5868
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,25,1.65613,9.60356,10.31,2.00499,23.6498,23.5747
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,26,1.6584,9.61825,10.3143,2.00192,23.6701,23.5929
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,27,1.6527,9.60355,10.3207,1.99987,23.65,23.5768
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,28,1.64874,9.60243,10.3313,2.00602,23.6631,23.5885
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,29,1.64842,9.61299,10.3162,2.00704,23.6601,23.5847
