dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,0,0.813056,924.282,4.56433,2.77402,932.601,932.434
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,1,0.722944,897.595,4.43544,1.78176,904.675,904.535
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,2,0.72544,874.538,4.42522,1.78074,881.609,881.47
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,3,0.736416,864.717,4.41994,1.792,871.804,871.665
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,4,0.722688,893.437,4.73407,1.78685,900.814,900.68
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,5,0.735136,892.776,4.80309,1.80934,900.284,900.123
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,6,0.724768,897.392,4.75891,1.8001,904.813,904.676
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,7,0.721632,882.737,4.73602,1.78784,890.125,889.983
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,8,0.72112,883.567,4.74273,1.78378,890.957,890.815
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,9,0.730016,891.095,4.74374,1.79398,898.499,898.363
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,10,0.724768,939.197,4.72589,1.78688,946.57,946.435
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,11,0.727424,961.617,4.72241,1.79091,969.002,968.858
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,12,0.722464,891.212,4.72813,1.78784,898.591,898.45
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,13,0.759808,888.103,4.81779,1.81344,895.692,895.494
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,14,0.72256,897.632,4.72363,1.79088,905.005,904.87
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,15,0.724,906.288,4.72457,1.79302,913.672,913.529
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,16,0.723904,918.303,4.73268,1.78989,925.691,925.549
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,17,0.722336,888.203,4.7277,1.79091,895.578,895.444
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,18,0.723552,923.682,4.73287,1.78995,931.069,930.929
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,19,0.722432,876.717,4.73078,1.78682,884.094,883.957
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,20,0.723808,896.873,4.73188,1.7889,904.258,904.118
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,21,0.7224,885.396,4.72655,1.78784,892.769,892.633
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,22,0.725216,893.788,4.83466,1.79197,901.282,901.14
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,23,0.725536,923.279,4.7364,1.78682,930.666,930.528
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,24,0.722912,897.057,4.73208,1.7919,904.441,904.304
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,25,0.722176,953.181,4.73159,1.78883,960.554,960.423
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,26,0.7256,976.253,4.7349,1.78784,983.637,983.501
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,27,0.732416,942.832,4.72971,1.7919,950.227,950.086
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,28,0.722848,923.003,4.73037,1.7919,930.389,930.248
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",4,512,29,0.721824,925.431,4.72492,1.78784,932.805,932.665
