dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,0,2.07882,22.1651,12.44,3.98848,40.7733,40.6724
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,1,1.61747,16.3577,12.2925,3.77446,34.1294,34.0422
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,2,1.61808,16.1973,12.4131,3.77856,34.0904,34.0071
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,3,1.62253,16.2033,12.4615,3.76832,34.1401,34.0556
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,4,1.62147,16.2053,12.4857,3.77139,34.1673,34.0839
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,5,1.62931,16.203,12.4439,3.76115,34.122,34.0374
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,6,1.62365,16.2063,12.4584,3.76934,34.1335,34.0577
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,7,1.6336,16.2248,12.4255,3.76832,34.1369,34.0522
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,8,1.62989,16.1931,12.47,3.7632,34.1407,34.0561
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,9,1.62797,16.1933,12.4936,3.76422,34.1651,34.0791
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,10,1.61933,16.2041,12.3924,3.77549,34.0762,33.9913
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,11,1.63229,16.2116,12.4905,3.76934,34.1853,34.1038
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,12,1.6241,16.1388,12.3126,3.7591,33.9135,33.8346
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,13,1.6256,16.1641,12.3002,3.75603,33.9285,33.8459
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,14,1.6192,16.2312,12.311,3.76832,34.024,33.9297
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,15,1.62826,16.133,12.3308,3.75501,33.9307,33.847
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,16,1.61827,16.2097,12.2979,3.76525,33.9678,33.8911
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,17,1.61952,16.1947,12.2773,3.74886,33.9205,33.8404
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,18,1.62176,16.1502,12.3249,3.76115,33.934,33.8581
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,19,1.61635,16.1442,12.3425,3.77037,33.9505,33.8735
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,20,1.62109,16.1476,12.3277,3.76115,33.9431,33.8575
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,21,1.61763,16.1428,12.3657,3.76218,33.9683,33.8883
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,22,1.62525,16.1547,12.2924,3.76934,33.9177,33.8417
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,23,1.61542,16.1342,12.3427,3.76218,33.9423,33.8545
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,24,1.61821,16.154,12.327,3.7591,33.9352,33.8582
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,25,1.62128,16.1508,12.274,3.76218,33.8847,33.8082
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,26,1.62653,16.1254,12.356,3.7632,33.9567,33.8712
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,27,1.6144,16.1381,12.3646,3.7632,33.966,33.8803
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,28,1.61866,16.1397,12.3105,3.75501,33.9104,33.8238
3,float,uniform,GPU,"P | P | P | P | D | N",2,512,29,1.61549,16.1277,12.3867,3.76115,33.9761,33.8911
