dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,0,1.33142,19.5756,5.28603,2.10637,28.1626,28.2995
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,1,0.887744,9.81156,5.37234,1.90976,18.0554,17.9814
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,2,0.883968,9.81081,5.33181,1.90566,18.0106,17.9323
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,3,0.88816,9.80467,5.35611,1.89645,18.0167,17.9454
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,4,0.882848,9.82806,5.34315,1.90362,18.0387,17.9577
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,5,0.884352,9.81411,5.36014,1.8985,18.0317,17.9571
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,6,0.88416,9.81738,5.36839,1.9159,18.0522,17.9858
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,7,0.885376,9.81851,5.36466,1.90157,18.0482,17.9701
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,8,0.884928,9.81904,5.33564,1.89235,18.0079,17.932
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,9,0.887392,9.80578,5.35522,1.90874,18.0305,17.9571
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,10,0.885952,9.81619,5.34094,1.89747,18.0235,17.9406
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,11,0.889088,9.81933,5.35834,1.90669,18.0441,17.9734
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,12,0.884352,9.8206,5.34711,1.90464,18.0413,17.9567
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,13,0.88656,9.8231,5.36981,1.89338,18.0498,17.9728
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,14,0.887808,9.7872,5.34678,1.90157,17.9993,17.9234
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,15,0.883488,9.82002,5.34447,1.89952,18.0273,17.9475
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,16,0.887008,9.80974,5.34541,1.90771,18.019,17.9499
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,17,0.88624,9.80263,5.3432,1.8985,18.0058,17.9306
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,18,0.890208,9.79275,5.34261,1.90464,17.9856,17.9302
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,19,0.888896,9.80123,5.37134,1.89952,17.9995,17.961
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,20,0.888448,9.81011,5.35178,1.90768,18.0286,17.958
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,21,0.887072,9.81832,5.36636,1.89542,18.0385,17.9672
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,22,0.884448,9.81717,5.36687,1.8985,18.021,17.967
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,23,0.884256,9.80646,5.33955,1.90566,18.0072,17.9359
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,24,0.887744,9.80537,5.35329,1.89952,18.0207,17.9459
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,25,0.889952,9.82908,5.33298,1.90362,18.0399,17.9556
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,26,0.887616,9.79942,5.34836,1.89542,18.0015,17.9308
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,27,0.88512,9.80647,5.33875,1.91386,18.022,17.9442
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,28,0.886048,9.80771,5.34594,1.91693,18.032,17.9566
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",4,512,29,0.891872,9.81895,5.36034,1.90362,18.0451,17.9748
