dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,0,1.45418,2003.36,12.9148,4.18714,2022.05,2021.92
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,1,1.40413,2026.68,13.0074,3.75398,2044.93,2044.84
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,2,1.40467,2017.63,12.9255,3.75706,2035.82,2035.72
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,3,1.40624,2025.64,12.9195,3.75094,2043.81,2043.72
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,4,1.40995,2019.36,12.8665,3.74579,2037.47,2037.38
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,5,1.4095,2028.18,12.9809,3.74784,2046.41,2046.32
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,6,1.41104,2019.6,13.0222,3.75501,2037.89,2037.79
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,7,1.4024,2029.17,12.9346,3.74784,2047.34,2047.25
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,8,1.40733,2024.65,12.8188,3.74784,2042.72,2042.62
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,9,1.41062,2020.43,12.9148,3.75194,2038.6,2038.51
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,10,1.40813,2019.58,12.9886,3.7591,2037.83,2037.74
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,11,1.40458,2023.93,13.0044,3.76013,2042.19,2042.1
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,12,1.40198,2021.99,12.858,3.75808,2040.09,2040.01
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,13,1.40579,2007.36,12.9869,3.75603,2025.6,2025.51
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,14,1.40448,2023.69,12.9564,3.75296,2041.9,2041.81
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,15,1.40566,2025.09,12.9994,3.75091,2043.34,2043.25
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,16,1.40973,2025.35,12.9903,3.7591,2043.61,2043.51
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,17,1.40429,2024.31,12.9529,3.74682,2042.51,2042.41
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,18,1.40656,2016.91,12.9053,3.74989,2035.07,2034.97
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,19,1.40547,2025.22,12.8759,3.75808,2043.35,2043.26
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,20,1.40646,2024.17,12.9805,3.75603,2042.41,2042.32
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,21,1.40602,2022.46,12.9679,3.75296,2040.7,2040.59
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,22,1.40611,2030.57,12.9812,3.75501,2048.81,2048.72
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,23,1.40253,2029.96,12.9791,3.74886,2048.18,2048.09
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,24,1.40573,2035.67,12.9999,3.74477,2053.91,2053.82
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,25,1.4057,2018.24,13.025,3.74784,2036.52,2036.42
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,26,1.40432,2023.25,12.9892,3.75501,2041.49,2041.4
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,27,1.40493,2012.9,12.9773,3.73146,2031.11,2031.01
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,28,1.40669,2024.79,12.9914,3.74579,2043.03,2042.94
3,float,uniform,GPU,"P | P | P | P | N | D",2,512,29,1.4001,2026.72,12.9288,3.76013,2044.98,2044.81
