dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,0,1.24765,552.805,4.66063,1.54618,560.426,560.26
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,1,0.622528,430.56,4.67289,1.17245,437.14,437.028
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,2,0.622144,420.618,4.67565,1.16829,427.201,427.084
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,3,0.602016,419.589,4.15941,1.30048,425.458,425.651
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,4,0.61888,419.203,4.66626,1.16938,425.769,425.657
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,5,0.623872,418.762,4.65295,1.1591,425.306,425.198
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,6,0.62512,418,4.66884,1.16522,424.568,424.459
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,7,0.609344,412.428,4.56533,1.28922,418.827,418.891
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,8,0.61008,411.261,4.58875,1.30662,417.732,417.767
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,9,0.600544,413.809,4.57433,1.29843,420.152,420.283
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,10,0.620384,413.093,4.66277,1.15702,419.641,419.533
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,11,0.618816,409.289,4.65667,1.15808,415.836,415.723
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,12,0.614688,412.399,4.60229,1.31379,418.932,418.93
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,13,0.676064,410.169,4.74318,1.1888,416.96,416.777
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,14,0.598656,413.567,4.57191,1.29843,419.901,420.036
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,15,0.60672,413.979,4.19251,1.28614,420.107,420.065
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,16,0.619744,413.81,4.64868,1.15709,420.343,420.235
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,17,0.601632,413.952,4.1911,1.28307,419.469,420.028
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,18,0.600352,413.045,4.53059,1.28614,419.306,419.462
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,19,0.618656,412.561,4.65814,1.1591,419.112,418.997
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,20,0.628128,413.868,4.67044,1.15814,420.433,420.325
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,21,0.623136,413.266,4.63403,1.15603,419.79,419.68
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,22,0.607584,412.282,4.58499,1.28922,418.647,418.764
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,23,0.603616,416.913,4.16603,1.28512,419.5,422.967
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,24,0.611616,413.766,4.68804,1.15706,420.332,420.223
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,25,0.603936,423.779,4.54254,1.28717,430.066,430.213
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,26,0.617248,412.142,4.58802,1.15907,418.611,418.506
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,27,0.617152,411.35,4.65623,1.1591,417.891,417.783
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,28,0.620832,412.263,4.64745,1.15808,418.799,418.69
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,29,0.620896,412.625,4.68475,1.1561,419.196,419.086
