dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,0,39.2972,662.186,1.95815,1.1008,713.835,704.542
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,1,42.4638,435.941,1.9337,0.766016,482.19,481.104
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,2,42.5065,431.035,1.92168,0.76496,477.006,476.228
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,3,42.5408,433.622,1.92344,0.763872,480.316,478.85
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,4,43.0084,428.419,1.9234,0.766944,475.444,474.117
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,5,42.5431,434.048,1.92284,0.756672,480.681,479.271
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,6,42.9596,436.386,1.91976,0.761856,483.417,482.027
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,7,42.4449,426.875,1.91067,0.761824,473.576,471.992
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,8,42.3925,430.878,1.93625,0.77104,477.073,475.978
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,9,42.4949,432.12,1.94248,0.77104,478.449,477.328
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,10,42.5095,433.229,1.91366,0.765888,479.398,478.419
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,11,42.5848,432.368,1.9234,0.767968,478.751,477.644
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,12,42.8772,427.168,1.91924,0.769024,473.435,472.733
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,13,42.9261,432.29,1.91466,0.763904,479.143,477.895
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,14,42.5532,432.678,1.91511,0.761856,479.312,477.908
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,15,42.7044,426.877,1.92148,0.7608,473.668,472.264
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,16,42.9936,432.078,1.92263,0.762848,478.971,477.757
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,17,43.385,432.861,1.94339,0.773088,480.144,478.962
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,18,42.4768,431.903,1.9367,0.77104,478.164,477.087
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,19,42.4775,432.266,1.91252,0.758784,478.229,477.415
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,20,42.5797,425.02,1.91408,0.763904,471.847,470.278
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,21,42.4236,441.603,1.91893,0.764896,487.6,486.71
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,22,42.6059,473.788,1.91652,0.761824,520.127,519.072
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,23,42.5206,448.535,1.91526,0.763872,494.555,493.735
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,24,42.9557,433.506,1.918,0.763872,479.727,479.143
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,25,42.9932,447.06,1.91124,0.759776,493.225,492.725
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,26,43.054,432.805,1.91658,0.761824,479.12,478.538
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,27,42.4516,431.363,1.92029,0.764864,477.606,476.5
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,28,42.7174,426.444,1.92365,0.75776,473.417,471.842
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,512,29,42.9476,433.35,1.92049,0.763904,479.621,478.982
