dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,0,33.8392,386.78,4.35241,0.743392,425.78,425.715
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,1,32.025,254.397,4.32651,0.434176,291.187,291.183
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,2,32.3533,251.441,4.32142,0.428,288.461,288.544
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,3,31.9002,258.626,4.33007,0.43104,295.358,295.287
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,4,32.383,256.146,4.33268,0.430048,293.441,293.292
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,5,32.317,270.376,4.32574,0.432128,307.541,307.451
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,6,29.9316,268.788,4.32732,0.428032,301.466,303.475
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,7,32.3193,268.186,4.31854,0.427968,305.138,305.252
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,8,32.0442,263.958,4.32659,0.430016,300.843,300.759
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,9,32.0856,269.349,4.32074,0.436192,306.191,306.192
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,10,30.1657,271.485,4.32167,0.425984,301.173,306.398
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,11,32.18,286.339,4.33008,0.429024,323.388,323.278
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,12,32.366,273.364,4.31971,0.428992,310.492,310.478
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,13,30.1514,283.846,4.32329,0.43008,318.153,318.751
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,14,32.297,276.553,4.31323,0.430048,313.493,313.594
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,15,32.4258,274.563,4.31971,0.426944,311.776,311.735
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,16,32.1247,263.589,4.33925,0.431104,300.605,300.484
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,17,32.3725,262.472,4.31631,0.428,299.495,299.589
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,18,31.9574,254.652,4.38116,0.449472,291.437,291.44
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,19,30.3232,257.145,4.32026,0.428,290.275,292.216
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,20,31.9531,276.383,4.31944,0.431072,313.1,313.086
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,21,30.2653,251.4,4.38837,0.446464,284.034,286.5
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,22,30.5429,273.604,4.38834,0.44336,297.991,308.978
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,23,32.2869,254.219,4.3266,0.429024,291.368,291.261
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,24,31.9661,267.758,4.31295,0.430048,304.453,304.467
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,25,30.4475,293.651,4.32792,0.434144,327.503,328.861
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,26,32.1354,283.317,4.33319,0.431104,320.329,320.216
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,27,30.5005,272.376,4.32811,0.431072,305.959,307.635
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,28,32.149,255.324,4.32998,0.430048,292.337,292.233
3,float,uniform,CPU,"D | D | D | D | D | D",8,512,29,32.4392,264.503,4.33325,0.435136,301.829,301.711
