dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,0,112.618,676.44,15.8172,2.67469,807.674,807.55
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,1,113.533,679.25,15.7947,1.97427,810.645,810.552
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,2,113.177,674.237,15.1423,1.94867,804.596,804.505
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,3,114.191,675.466,14.1379,1.91795,805.364,805.712
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,4,112.709,671.909,15.1683,1.95994,801.836,801.746
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,5,114.017,668.44,14.681,1.93536,799.165,799.073
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,6,111.999,668.164,14.6758,1.93843,796.87,796.777
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,7,114.317,670.201,14.1007,1.92205,799.774,800.541
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,8,112.872,667.71,14.6787,1.93536,797.287,797.195
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,9,113.513,667.94,14.095,1.92102,797.027,797.469
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,10,112.098,668.034,14.091,1.92,795.977,796.142
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,11,112.66,669.815,14.096,1.91386,798.346,798.485
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,12,113.961,670.892,14.0896,1.91898,800.52,800.862
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,13,114.023,668.804,14.0853,1.9159,798.343,798.829
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,14,112.073,669.69,14.6773,1.93638,798.468,798.378
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,15,113.059,670.02,14.6815,1.93741,799.792,799.698
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,16,112.779,669.064,14.7038,1.93946,798.587,798.486
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,17,113.534,670.909,14.6879,1.94048,801.161,801.071
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,18,112.232,666.963,14.6758,1.93536,795.893,795.806
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,19,112.473,670.92,14.6751,1.93536,800.094,800.004
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,20,113.206,669.755,14.6757,1.93229,799.661,799.569
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,21,112.128,666.448,14.6775,1.93536,795.281,795.19
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,22,113.869,667.571,14.6736,1.9415,798.142,798.055
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,23,113.989,669.055,14.6671,1.93434,799.728,799.646
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,24,113.991,669.846,13.4449,1.90157,799.004,799.184
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,25,113.727,667.267,13.4458,1.89542,795.673,796.335
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,26,112.532,666.308,14.6753,1.9415,795.548,795.456
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,27,112.1,665.052,14.6851,1.93741,793.865,793.774
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,28,113.072,671.283,14.6738,1.9415,801.057,800.97
3,float,uniform,CPU,"D | D | D | D | N | D",2,512,29,113.502,669.068,14.6751,1.9415,799.277,799.187
