dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,0,225.964,5.30374,24.4902,3.81338,259.683,259.571
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,1,222.022,5.29374,21.8772,3.53485,252.809,252.728
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,2,223.78,5.29126,21.3267,3.49798,253.974,253.896
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,3,221.228,5.29187,21.3129,3.50618,251.414,251.339
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,4,226.903,5.29508,21.3138,3.5072,257.099,257.019
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,5,225.369,5.29107,21.3129,3.49184,255.547,255.465
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,6,220.699,5.2947,21.3205,3.50822,250.901,250.823
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,7,223.995,5.29552,21.3104,3.50822,254.189,254.109
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,8,223.397,5.29269,21.3369,3.5072,253.61,253.534
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,9,222.079,5.29553,21.3148,3.50925,252.277,252.199
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,10,221.007,5.29269,21.321,3.5072,251.208,251.128
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,11,224.354,5.29221,21.3132,3.5113,254.556,254.471
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,12,222.538,5.29907,21.3484,3.50925,252.779,252.695
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,13,224.091,5.2951,21.3083,3.50208,254.277,254.197
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,14,220.637,5.29072,21.3189,3.50925,250.832,250.755
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,15,223.707,5.29628,21.3245,3.50925,253.915,253.837
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,16,221.959,5.29376,21.3197,3.5113,252.167,252.084
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,17,224.01,5.29457,21.3287,3.50003,254.215,254.134
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,18,220.944,5.29273,21.3145,3.51949,251.146,251.071
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,19,222.635,5.29187,21.3085,3.50413,252.814,252.739
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,20,222.497,5.29234,21.3349,3.52256,252.723,252.647
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,21,224.241,5.29318,21.3222,3.49798,254.434,254.354
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,22,222.046,5.29229,21.3198,3.52051,252.253,252.178
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,23,220.422,5.29263,21.3194,3.49901,250.608,250.533
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,24,223.84,5.29322,21.3393,3.50413,254.056,253.976
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,25,225.674,5.29369,21.313,3.50413,255.862,255.785
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,26,222.122,5.28918,21.309,3.50822,252.305,252.228
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,27,223.972,5.29409,21.3212,3.51334,254.176,254.101
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,28,224.038,5.2934,21.3209,3.51334,254.243,254.166
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,29,220.96,5.29286,21.314,3.50822,251.154,251.075
