dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,0,113.126,665.33,6.85568,2.27738,787.417,787.589
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,1,113.463,671.382,7.03254,1.87494,793.792,793.753
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,2,114.074,671.085,6.96024,1.88211,793.535,794.001
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,3,112.92,667.658,7.03855,1.87699,789.068,789.493
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,4,113.091,669.446,7.00301,1.87187,791.034,791.412
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,5,112.406,666.129,6.96201,1.85549,787.44,787.352
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,6,111.953,667.082,7.07089,1.87494,787.758,787.981
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,7,113.941,669.197,6.86875,1.87187,791.967,791.879
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,8,112.016,665.371,6.73333,1.8647,786.078,785.985
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,9,113.576,665.407,6.89652,1.86778,787.837,787.748
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,10,112.206,667.447,6.97572,1.87494,788.296,788.504
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,11,113.052,664.326,6.90145,1.86982,785.572,786.15
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,12,112.052,667.096,6.99982,1.88109,787.825,788.029
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,13,112.534,667.246,7.03977,1.8647,788.773,788.684
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,14,113.597,667.811,6.92642,1.87187,790.293,790.206
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,15,112.19,668.691,6.9339,1.88314,789.144,789.699
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,16,112.47,667.095,6.89121,1.86163,788.404,788.318
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,17,112.376,667.776,6.83208,1.87597,787.942,788.861
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,18,112.402,665.215,6.99484,1.87699,785.895,786.49
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,19,113.002,663.361,6.92601,1.87085,785.252,785.161
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,20,112.408,665.5,7.01648,1.88006,786.248,786.805
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,21,111.806,667.716,6.97276,1.88416,787.836,788.379
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,22,112.612,665.081,6.89792,1.8688,786.55,786.46
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,23,111.792,662.819,6.88797,1.86266,783.465,783.362
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,24,112.936,664.278,6.90188,1.85242,785.654,785.968
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,25,111.874,663.258,6.90049,1.86573,783.988,783.898
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,26,114.067,662.786,6.95555,1.86163,785.762,785.67
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,27,112.237,662.769,6.95362,1.86573,783.916,783.826
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,28,113.01,665.448,6.8009,1.86982,787.217,787.129
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,29,112.264,672.573,7.0467,1.90362,793.401,793.787
