dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,0,222.664,5.30477,33.0636,7.68922,268.858,268.722
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,1,219.694,5.2952,32.9955,7.46701,265.546,265.452
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,2,220.862,5.29381,32.4907,7.48339,266.22,266.13
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,3,220.938,5.29591,32.4263,7.49261,266.25,266.153
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,4,221.017,5.29215,32.3278,7.47622,266.202,266.113
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,5,220.736,5.29214,32.2572,7.48544,265.861,265.771
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,6,220.66,5.29044,33.1532,7.47827,266.671,266.581
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,7,219.04,5.29401,33.5863,7.47827,265.488,265.399
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,8,220.948,5.29559,33.1777,7.48749,267.005,266.909
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,9,219.122,5.29676,32.4851,7.50694,264.501,264.41
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,10,218.148,5.29446,32.4565,7.47827,263.467,263.377
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,11,218.959,5.29619,33.11,7.5008,264.955,264.866
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,12,220.948,5.29313,32.4604,7.49261,266.292,266.194
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,13,220.734,5.29533,32.4499,7.48851,266.058,265.968
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,14,220.909,5.29069,33.0973,7.49466,266.885,266.792
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,15,218.017,5.29483,32.5496,7.50592,263.46,263.368
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,16,218.176,5.29474,32.7952,7.4793,263.831,263.746
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,17,220.758,5.29601,32.5216,7.48237,266.158,266.058
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,18,221.012,5.29692,32.2302,7.48339,266.119,266.023
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,19,220.844,5.29511,32.9185,7.47622,266.63,266.534
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,20,220.925,5.29042,32.3623,7.4967,266.163,266.074
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,21,220.736,5.29514,33.1447,7.4711,266.734,266.647
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,22,218.522,5.29637,33.0064,7.48134,264.395,264.306
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,23,220.686,5.29387,31.6611,7.48442,265.214,265.125
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,24,218.433,5.29283,32.4011,7.47213,263.687,263.599
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,25,218.814,5.29167,32.3787,7.49056,264.063,263.975
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,26,218.593,5.28938,32.4462,7.46086,263.878,263.79
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,27,219.19,5.29411,33.0054,7.46496,265.048,264.955
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,28,219.149,5.28993,32.3808,7.4711,264.379,264.29
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",1,512,29,221.008,5.29747,33.1423,7.5049,267.053,266.952
