dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,0,219.237,0,6593.82,3.92192,6817.09,6816.98
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,1,220.087,0,6289.06,3.66285,6512.89,6512.81
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,2,219.906,0,6292.32,3.6608,6515.96,6515.88
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,3,219.223,0,6301.29,3.65773,6524.25,6524.17
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,4,220.57,0,6287.55,3.64954,6511.84,6511.77
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,5,217.927,0,6292.46,3.65773,6514.13,6514.04
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,6,216.854,0,6303.78,3.65466,6524.35,6524.28
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,7,219.579,0,6293.83,3.65773,6517.15,6517.07
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,8,218.531,0,6292.08,3.65466,6514.35,6514.27
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,9,218.472,0,6290.82,3.64339,6513.01,6512.93
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,10,218.804,0,6291.78,3.65363,6514.32,6514.24
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,11,221.1,0,6298.82,3.64339,6523.63,6523.56
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,12,219.22,0,6303.21,3.65261,6526.15,6526.08
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,13,220.33,0,6298.69,3.64749,6522.74,6522.67
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,14,220.735,0,6298.48,3.65466,6522.94,6522.87
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,15,219.632,0,6290.7,3.67309,6514.12,6514.01
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,16,221.261,0,6302.07,3.64544,6527.06,6526.98
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,17,219.922,0,6288.56,3.64544,6512.21,6512.13
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,18,219.948,0,6291.19,3.64237,6514.85,6514.78
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,19,221.207,0,6290.03,3.6393,6514.95,6514.88
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,20,221.057,0,6301.44,3.64544,6526.21,6526.14
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,21,216.441,0,6304.54,3.64646,6524.7,6524.63
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,22,216.511,0,6302.34,3.65363,6522.58,6522.5
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,23,220.599,0,6301.54,3.64442,6525.85,6525.78
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,24,216.9,0,6304.78,3.65056,6525.4,6525.33
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,25,219.345,0,6301.15,3.64646,6524.22,6524.14
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,26,216.554,0,6303.06,3.6567,6523.35,6523.27
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,27,218.389,0,6291.94,3.64339,6514.04,6513.97
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,28,219.169,0,6292.49,3.64954,6515.38,6515.3
3,float,uniform,CPU,"N | N | N | N | N | N",1,512,29,219.724,0,6299.47,3.64339,6522.91,6522.84
