dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,0,113.702,2008.06,11.0932,4.25677,2137.01,2137.11
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,1,113.342,2027.29,12.3841,3.84102,2156.97,2156.85
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,2,112.496,2014,11.2224,3.79904,2141.29,2141.52
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,3,113.704,2021.5,12.4951,3.85126,2151.66,2151.55
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,4,113.021,2015.71,11.2039,3.78266,2142.91,2143.71
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,5,113.23,2020.37,12.4214,3.82874,2149.96,2149.85
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,6,112.395,2025.36,12.4361,3.82464,2154.13,2154.02
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,7,113.063,2019.45,11.18,3.79187,2147.5,2147.49
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,8,114.624,2017.07,11.1595,3.78368,2145.73,2146.63
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,9,113.436,2017.62,11.7243,3.84819,2146.2,2146.63
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,10,112.469,2033.33,12.4402,3.82669,2162.17,2162.07
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,11,113.168,2028.49,12.4511,3.84,2157.94,2157.95
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,12,113.52,2037.55,12.4265,3.82362,2167.42,2167.32
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,13,113.562,2042.24,12.4521,3.82669,2171.65,2172.08
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,14,112.82,2022.09,12.4434,3.8441,2151.3,2151.2
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,15,113.539,2027.87,12.4182,3.83283,2157.76,2157.66
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,16,112.262,2022.87,11.8705,3.80211,2150.88,2150.8
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,17,113.932,2028.39,11.8962,3.82054,2158.1,2158.04
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,18,113.269,2026.61,12.428,3.83795,2156.25,2156.14
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,19,112.509,2025.39,12.461,3.8359,2154.3,2154.2
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,20,114.133,2025.49,11.9021,3.80518,2155.09,2155.33
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,21,112.95,2017.4,12.4848,3.83693,2146.79,2146.67
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,22,112.957,2024.57,12.4406,3.82669,2153.9,2153.8
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,23,112.967,2015.98,12.4656,3.83488,2145.36,2145.25
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,24,113.092,2018.78,12.4613,3.84614,2148.29,2148.18
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,25,112.499,2021.88,12.457,3.82464,2150.76,2150.66
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,26,112.99,2032.06,12.4008,3.82259,2161.38,2161.27
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,27,112.431,2025.16,11.8851,3.82259,2153.07,2153.3
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,28,112.811,2029.66,12.4831,3.8359,2158.89,2158.79
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,512,29,112.876,2028.58,12.4353,3.83078,2157.82,2157.72
