dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,0,41.923,847.636,3.45018,2.11757,894.505,895.127
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,1,41.5694,792.534,3.41039,1.32294,832.73,838.837
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,2,41.6936,778.003,3.46047,1.34851,818.428,824.506
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,3,42.4973,771.186,3.40761,1.324,818.565,818.415
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,4,41.4918,792.664,3.39841,1.31987,830.184,838.875
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,5,41.7979,773.374,3.38495,1.31987,817.245,819.876
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,6,41.8462,785.445,3.41075,1.32192,832.169,832.024
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,7,42.0497,782.827,3.41194,1.3199,829.754,829.608
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,8,42.2732,770.106,3.4226,1.32906,811.81,817.131
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,9,42.84,793.633,3.45603,1.33629,841.44,841.266
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,10,41.7049,793.425,3.4243,1.33014,840.031,839.884
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,11,41.6867,800.963,3.40077,1.32298,835.283,847.374
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,12,41.7108,809.894,3.39481,1.32093,844.919,856.321
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,13,41.489,783.829,3.39597,1.32502,827.038,830.039
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,14,42.4409,778.748,3.46712,1.35158,825.666,826.008
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,15,41.7524,773.645,3.40768,1.32806,819.328,820.133
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,16,42.9864,813.148,3.48975,1.34448,861.151,860.969
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,17,41.533,775.957,3.38972,1.32602,820.93,822.205
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,18,41.9504,774.497,3.38795,1.31984,821.298,821.155
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,19,42.2117,800.821,3.40165,1.32291,845.043,847.758
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,20,41.8552,798.491,3.38324,1.3209,845.192,845.05
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,21,41.8918,790.634,3.40495,1.32093,837.397,837.252
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,22,42.2201,790.033,3.39301,1.33117,835.982,836.977
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,23,41.9213,780.446,3.39441,1.32294,826.937,827.084
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,24,41.9396,788.537,3.40237,1.31984,835.349,835.199
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,25,41.7248,779.507,3.39727,1.32189,826.098,825.951
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,26,41.6438,777.489,3.39532,1.31984,823.997,823.848
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,27,41.7555,780.343,3.45057,1.3384,825.991,826.887
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,28,42.2121,769.743,3.42392,1.33213,816.354,816.711
3,float,uniform,CPU,"P | P | P | P | D | N",6,512,29,41.8323,785.203,3.66383,1.32291,832.235,832.022
