dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,0,221.139,7.95923,27.1877,7.9319,264.348,264.217
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,1,218.477,7.92633,27.0199,7.49056,261.014,260.913
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,2,220.289,7.93578,27.2307,7.4711,263.016,262.926
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,3,221.335,7.92691,27.2642,7.46701,264.082,263.993
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,4,220.921,7.93052,27.3508,7.4752,263.764,263.677
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,5,221.385,7.92671,27.1282,7.47213,263.999,263.913
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,6,220.617,7.92525,27.2551,7.47827,263.373,263.276
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,7,219.956,7.92916,27.3285,7.46291,262.764,262.676
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,8,220.444,7.92701,27.1755,7.4752,263.116,263.022
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,9,218.411,7.92713,27.3156,7.47213,261.211,261.126
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,10,218.798,7.92339,27.2876,7.48749,261.582,261.497
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,11,218.614,7.93052,27.2241,7.47315,261.35,261.242
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,12,218.426,7.92963,27.3053,7.47213,261.22,261.133
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,13,221.004,7.92484,27.2694,7.48646,263.775,263.684
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,14,219.291,7.92434,27.2491,7.4793,262.03,261.943
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,15,220.748,7.93116,27.3729,7.47827,263.62,263.53
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,16,220.406,7.92452,27.4393,7.47622,263.334,263.246
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,17,218.692,7.92958,27.2321,7.47213,261.412,261.326
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,18,220.041,7.92889,27.2738,7.48442,262.815,262.728
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,19,220.307,7.92907,27.3232,7.47622,263.125,263.035
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,20,217.41,7.93005,27.3386,7.47213,260.237,260.15
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,21,219.675,7.92665,27.3558,7.47418,262.519,262.431
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,22,219.986,7.92404,27.3865,7.48544,262.867,262.782
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,23,217.139,7.9277,27.1917,7.47725,259.822,259.736
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,24,219.453,7.92986,27.166,7.48442,262.13,262.033
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,25,219.346,7.92717,27.2566,7.49158,262.109,262.022
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,26,219.181,7.93274,27.3006,7.48954,261.989,261.904
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,27,219.963,7.92618,27.2619,7.4752,262.711,262.626
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,28,222.728,7.92902,27.2109,7.48749,265.443,265.356
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,512,29,222.765,7.92654,27.3939,7.46803,265.64,265.553
