dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,0,33.4613,593.244,2.47693,1.2625,609.031,630.445
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,1,30.378,474.079,2.40104,0.88368,505.156,507.741
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,2,30.2705,505.001,2.38482,0.881664,500.139,538.538
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,3,32.1192,482.351,2.39065,0.87648,517.921,517.737
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,4,30.3004,493.707,2.37627,0.880608,518.093,527.264
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,5,32.365,474.135,2.38216,0.881632,509.877,509.764
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,6,30.4553,491.967,2.43979,0.901056,520.935,525.763
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,7,30.8809,475.799,2.43937,0.901024,509.255,510.02
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,8,30.3227,475.281,2.37875,0.87856,499.894,508.861
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,9,30.5033,474.548,2.36973,0.876544,487.557,508.298
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,10,32.39,465.079,2.47495,0.89488,493.825,500.839
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,11,31.9363,482.59,2.40954,0.884704,515.118,517.82
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,12,32.2442,503.529,2.3916,0.88064,513.045,539.045
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,13,29.706,489.187,2.43802,0.973824,521.859,522.305
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,14,32.1484,478.004,2.39423,0.879616,513.542,513.426
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,15,30.1972,478.939,2.37212,0.879584,512.129,512.388
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,16,32.2876,471.968,2.38957,0.879552,507.642,507.524
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,17,29.711,470.116,2.39883,0.965632,497.782,503.191
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,18,32.1212,480.496,2.39219,0.885664,516.013,515.895
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,19,30.4256,492.882,2.38446,0.878592,494.581,526.57
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,20,30.3508,471.884,2.3872,0.880544,503.098,505.502
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,21,30.5252,469.138,2.44632,0.903168,484.386,503.013
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,22,31.9037,462.418,2.44834,0.892832,492.151,497.662
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,23,31.9214,491.49,2.39434,0.876512,526.813,526.682
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,24,32.178,473.778,2.37995,0.879616,509.334,509.215
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,25,30.4798,476.081,2.38766,0.891872,509.461,509.841
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,26,30.3042,479.944,2.3837,0.876544,505.769,513.509
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,27,32.2341,482.269,2.39706,0.882624,517.93,517.783
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,28,31.7241,476.601,2.4179,0.894912,508.945,511.638
3,float,uniform,CPU,"P | P | P | P | N | D",8,512,29,30.1123,472.073,2.37801,0.874464,501.644,505.438
