dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,0,113.351,2006.7,9.81317,4.56909,2134.59,2134.44
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,1,113.254,2022.66,9.87624,3.76115,2149.68,2149.55
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,2,114.113,2022.32,9.71079,3.73146,2148.66,2149.88
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,3,113.509,2019.51,9.95032,3.74784,2146.83,2146.71
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,4,112.478,2018.74,9.61564,3.73248,2144.41,2144.56
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,5,113.426,2026.88,9.9726,3.73965,2154.13,2154.02
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,6,112.882,2036.5,9.88678,3.75808,2163.14,2163.03
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,7,112.204,2035.04,9.96776,3.74682,2160.75,2160.96
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,8,112.336,2022.3,9.74118,3.74579,2148.23,2148.13
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,9,114,2047.6,9.83039,3.74682,2174.09,2175.17
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,10,113.91,2047.4,9.84276,3.74579,2173.49,2174.9
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,11,113.521,2041.97,9.84266,3.74682,2169.09,2169.08
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,12,112.322,2032.69,9.97983,3.77139,2158.53,2158.77
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,13,113.321,2051.28,9.96641,3.75296,2177.17,2178.32
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,14,113.74,2048.04,9.87241,3.73555,2173.93,2175.39
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,15,112.422,2035.34,9.94074,3.74579,2160.91,2161.44
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,16,113.464,2035.35,9.82123,3.75398,2162.24,2162.38
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,17,113.318,2041.23,9.8359,3.73248,2167.8,2168.12
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,18,112.455,2028.26,9.75604,3.73658,2154.31,2154.21
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,19,112.791,2033.54,9.75845,3.74989,2159.93,2159.84
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,20,112.694,2038.51,9.89407,3.75603,2164.67,2164.85
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,21,112.722,2035.74,9.8461,3.74579,2161.51,2162.05
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,22,112.819,2036.3,9.84285,3.75398,2162.82,2162.71
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,23,112.578,2032.81,9.95212,3.74067,2159.18,2159.08
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,24,113.14,2037.31,9.83906,3.74272,2164.13,2164.03
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,25,114.004,2046.12,9.94873,3.74989,2173.16,2173.82
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,26,112.649,2035.6,9.8182,3.75603,2161.94,2161.83
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,27,112.871,2040.22,9.9142,3.74784,2166.86,2166.76
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,28,112.767,2031.21,9.88996,3.74374,2157.71,2157.61
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,29,113.504,2039.16,9.95261,3.74067,2166.46,2166.35
