dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,0,60.9542,0,144.625,2.17702,205.701,207.756
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,1,59.2063,0,35.7189,1.88109,94.8269,96.8063
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,2,59.4773,0,35.3953,1.87699,94.6481,96.7496
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,3,58.8737,0,35.5216,1.87597,94.6796,96.2713
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,4,59.6973,0,35.3689,1.87802,94.4738,96.9443
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,5,59.0816,0,35.713,1.88109,94.3223,96.6757
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,6,59.3377,0,35.3848,1.87392,94.3012,96.5964
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,7,58.8574,0,35.2856,1.87494,94.4017,96.018
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,8,58.9151,0,35.1149,1.87597,94.052,95.906
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,9,59.1403,0,35.0543,1.87699,94.2751,96.0716
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,10,58.7362,0,35.0368,1.87392,93.5799,95.6469
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,11,59.4046,0,34.6955,1.87187,94.1713,95.9719
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,12,59.2949,0,34.3193,1.87187,94.0362,95.486
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,13,59.6664,0,33.8671,1.86266,94.0862,95.3962
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,14,59.2263,0,33.8656,1.8647,93.1482,94.9566
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,15,59.1706,0,33.8828,1.86778,93.3112,94.9211
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,16,58.7146,0,33.9669,1.86368,92.9688,94.5452
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,17,59.6217,0,33.9532,1.86368,93.4607,95.4385
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,18,58.7338,0,34.3856,1.86573,93.8689,94.9851
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,19,58.7015,0,34.234,1.8688,93.6967,94.8043
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,20,59.5425,0,33.9057,1.87085,93.7525,95.3191
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,21,58.9123,0,33.8693,1.8647,93.1531,94.6463
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,22,60.351,0,33.8832,1.87494,93.0733,96.1091
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,23,58.6987,0,34.9155,1.87802,93.9152,95.4922
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,24,59.3327,0,33.8924,1.87085,93.4924,95.0959
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,25,59.2871,0,33.8612,1.86675,93.0975,95.015
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,26,59.3005,0,33.8744,1.8688,92.9557,95.0436
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,27,58.8509,0,33.8665,1.86573,92.904,94.5831
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,28,59.3014,0,33.8711,1.8647,93.086,95.0372
3,float,uniform,CPU,"P | P | P | P | P | P",4,512,29,59.082,0,33.8757,1.86778,93.0143,94.8254
