dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,0,0.916416,648.641,1.90445,1.3537,653.956,652.815
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,1,0.306656,382.388,1.92639,0.663552,384.777,385.285
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,2,0.312032,370.782,1.88769,0.66048,371.055,373.642
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,3,0.306848,370.438,1.91377,0.651232,371.252,373.31
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,4,0.310144,368.85,1.90241,0.657376,370.455,371.72
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,5,0.314592,368.375,1.89674,0.66352,367.46,371.25
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,6,0.308832,367.969,1.90629,0.665568,371.599,370.849
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,7,0.31264,364.2,1.92385,0.67584,366.332,367.113
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,8,0.313824,367.241,1.95175,0.669696,364.985,370.176
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,9,0.308352,401.59,1.90283,0.648192,390.439,404.449
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,10,0.309632,374.364,1.90884,0.670688,378.007,377.253
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,11,0.308096,374.685,1.88934,0.651232,378.292,377.534
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,12,0.309088,389.965,1.9038,0.678848,393.611,392.857
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,13,0.307584,379.624,1.89163,0.668608,383.135,382.491
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,14,0.306592,398.602,1.92525,0.660448,399.564,401.495
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,15,0.310144,385.647,1.91582,0.659456,387.133,388.533
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,16,0.323936,368.177,1.91806,0.6656,371.842,371.085
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,17,0.303296,393.513,1.88921,0.66048,393.403,396.366
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,18,0.30656,382.564,1.89524,0.667648,377.499,385.433
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,19,0.307552,372.95,1.89022,0.674816,376.227,375.822
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,20,0.310176,377.468,1.89232,0.673792,381.095,380.345
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,21,0.316096,383.174,1.88626,0.671712,386.796,386.048
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,22,0.320416,376.739,1.92335,0.667648,380.436,379.65
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,23,0.315424,381.685,1.91207,0.690144,385.348,384.602
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,24,0.310624,375.98,1.89117,0.654304,379.575,378.836
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,25,0.306752,366.233,1.89967,0.66352,369.343,369.103
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,26,0.308608,370.66,1.90006,0.662496,374.283,373.531
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,27,0.307584,390.237,1.89308,0.671744,389.256,393.11
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,28,0.309536,384.177,1.88856,0.652288,387.776,387.027
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,369,29,0.304352,374.678,1.90477,0.672736,377.305,377.56
